share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
022325,长城中证港股通高股息投资指数(QDII)-A,指数型-海外股票,存续,2025-03-11,,2025-03-11,tushare_fund_basic,长城基金管理有限公司,,022325.OF,022325,True
022326,长城中证港股通高股息投资指数(QDII)-C,指数型-海外股票,存续,2025-03-11,,2025-03-11,tushare_fund_basic,长城基金管理有限公司,,022326.OF,022325,False
022327,宏利高端装备股票-A,股票型,存续,2025-01-16,,2025-01-16,tushare_fund_basic,宏利基金管理有限公司,,022327.OF,022327,True
022328,宏利高端装备股票-C,股票型,存续,2025-01-16,,2025-01-16,tushare_fund_basic,宏利基金管理有限公司,,022328.OF,022327,False
022330,鑫元中证800红利低波动ETF联接-A,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,鑫元基金管理有限公司,,022330.OF,022330,True
022331,鑫元中证800红利低波动ETF联接-C,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,鑫元基金管理有限公司,,022331.OF,022330,False
022340,融通创业板ETF联接-A,指数型-股票,存续,2024-12-06,,2024-12-06,tushare_fund_basic,融通基金管理有限公司,,022340.OF,022340,True
022341,融通创业板ETF联接-C,指数型-股票,存续,2024-12-06,,2024-12-06,tushare_fund_basic,融通基金管理有限公司,,022341.OF,022340,False
022342,长盛中证红利低波动100指数-A,指数型-股票,存续,2024-12-24,,2024-12-24,tushare_fund_basic,长盛基金管理有限公司,,022342.OF,022342,True
022343,长盛中证红利低波动100指数-C,指数型-股票,存续,2024-12-24,,2024-12-24,tushare_fund_basic,长盛基金管理有限公司,,022343.OF,022342,False
022344,景顺长城红利量化选股股票-A,股票型,存续,2025-01-24,,2025-01-24,tushare_fund_basic,景顺长城基金管理有限公司,,022344.OF,022344,True
022345,景顺长城红利量化选股股票-C,股票型,存续,2025-01-24,,2025-01-24,tushare_fund_basic,景顺长城基金管理有限公司,,022345.OF,022344,False
022346,东海美丽中国灵活配置混合-C,混合型-灵活,存续,2024-10-18,,2024-10-18,tushare_fund_basic,东海基金管理有限责任公司,,022346.OF,022346,True
022350,嘉实中证全指集成电路ETF联接-A,指数型-股票,存续,2025-06-04,,2025-06-04,tushare_fund_basic,嘉实基金管理有限公司,,022350.OF,022350,True
