date,close,pe
2022-09-28,5775.12,9.84
2022-09-29,5756.26,9.73
2022-09-30,5726.52,9.71
2022-10-03,5679.57,9.64
2022-10-04,5724.46,9.74
2022-10-05,6102.57,10.27
2022-10-06,6058.53,10.19
2022-10-07,5884.72,9.92
2022-10-10,5646.03,9.58
2022-10-11,5431.23,9.25
2022-10-12,5382.29,9.17
2022-10-13,5230.11,8.95
2022-10-14,5262.6,8.98
2022-10-17,5255.71,8.97
2022-10-18,5427.09,9.27
2022-10-19,5172.73,8.88
2022-10-20,4996.03,8.58
2022-10-21,4998.61,8.62
2022-10-24,4373.25,7.54
2022-10-25,4512.74,7.73
2022-10-26,4605.06,7.93
2022-10-27,4676.98,8.0
2022-10-28,4428.78,7.64
2022-10-31,4473.96,7.76
2022-11-01,4877.73,8.39
2022-11-02,4997.26,8.52
2022-11-03,4820.47,8.28
2022-11-04,5257.95,8.99
2022-11-07,5325.62,9.11
2022-11-08,5238.33,9.03
2022-11-09,5073.57,8.72
2022-11-10,4982.94,8.65
2022-11-11,5522.89,9.42
2022-11-14,5501.45,9.39
2022-11-15,5971.08,10.26
2022-11-16,5958.78,10.26
2022-11-17,5909.39,10.27
2022-11-18,5986.92,10.28
2022-11-21,5794.71,10.02
2022-11-22,5634.69,9.88
2022-11-23,5705.23,9.98
2022-11-24,5705.77,9.97
2022-11-25,5589.71,9.76
2022-11-28,5567.63,9.81
2022-11-29,6049.53,10.53
2022-11-30,6202.19,10.71
2022-12-01,6271.99,10.88
2022-12-02,6347.65,10.95
2022-12-05,6768.06,11.61
2022-12-06,6617.17,11.37
2022-12-07,6352.74,10.96
2022-12-08,6689.37,11.52
2022-12-09,6854.01,11.76
2022-12-12,6584.57,12.32
2022-12-13,6652.95,12.43
2022-12-14,6715.2,12.6
2022-12-15,6510.81,12.21
2022-12-16,6571.51,12.29
2022-12-19,6594.6,12.34
2022-12-20,6426.58,11.99
2022-12-21,6440.4,12.04
2022-12-22,6715.77,12.46
2022-12-23,6607.15,12.29
2022-12-26,6601.09,12.28
2022-12-27,6595.95,12.28
2022-12-28,6665.83,12.39
2022-12-29,6645.81,12.48
2022-12-30,6598.34,11.88
2023-01-02,6598.34,11.88
2023-01-03,6761.8,12.23
2023-01-04,7135.61,12.91
2023-01-05,7189.62,12.86
2023-01-06,7181.8,12.93
2023-01-09,7378.01,13.39
2023-01-10,7265.79,13.21
2023-01-11,7353.59,13.5
2023-01-12,7242.2,13.29
2023-01-13,7328.61,13.52
2023-01-16,7263.24,13.47
2023-01-17,7265.66,13.51
2023-01-18,7276.85,13.59
2023-01-19,7223.17,13.54
2023-01-20,7449.91,13.93
2023-01-23,7461.3,13.97
2023-01-24,7461.73,13.99
2023-01-25,7461.9,13.99
2023-01-26,7699.67,14.52
2023-01-27,7767.52,14.65
2023-01-30,7334.85,13.72
2023-01-31,7258.57,13.59
2023-02-01,7432.75,13.9
2023-02-02,7340.64,13.74
2023-02-03,7234.65,13.6
2023-02-06,7051.42,13.32
2023-02-07,7191.71,13.59
2023-02-08,7058.71,13.46
2023-02-09,7261.74,13.89
2023-02-10,6990.65,13.43
2023-02-13,7074.61,13.63
2023-02-14,6978.44,13.42
2023-02-15,6933.12,13.35
2023-02-16,7075.39,13.59
2023-02-17,6904.11,13.24
2023-02-20,6947.14,13.34
2023-02-21,6629.57,12.72
2023-02-22,6560.73,12.56
2023-02-23,6645.11,12.75
2023-02-24,6382.25,12.27
2023-02-27,6454.75,12.41
2023-02-28,6355.37,12.23
2023-03-01,6742.43,13.0
2023-03-02,6582.82,12.71
2023-03-03,6703.54,12.92
2023-03-06,6632.59,12.73
2023-03-07,6589.53,12.68
2023-03-08,6433.59,12.45
2023-03-09,6288.42,12.11
2023-03-10,6088.26,11.8
2023-03-13,6247.4,12.18
2023-03-14,6089.77,11.92
2023-03-15,6136.45,11.99
2023-03-16,6088.01,11.9
2023-03-17,6199.76,12.05
2023-03-20,6006.91,11.61
2023-03-21,6123.34,11.83
2023-03-22,6174.45,11.92
2023-03-23,6521.5,12.62
2023-03-24,6475.58,12.52
2023-03-27,6322.47,12.27
2023-03-28,6442.18,12.55
2023-03-29,6708.83,13.03
2023-03-30,6788.65,13.15
2023-03-31,6860.62,13.24
2023-04-03,6816.9,13.21
2023-04-04,6676.87,13.01
2023-04-05,6658.43,12.97
2023-04-06,6681.44,13.04
2023-04-07,6690.22,13.06
2023-04-10,6677.05,13.02
2023-04-11,6664.03,12.94
2023-04-12,6417.97,12.44
2023-04-13,6413.0,12.48
2023-04-14,6401.03,12.5
2023-04-17,6521.75,12.69
2023-04-18,6489.61,12.61
2023-04-19,6353.39,12.32
2023-04-20,6377.93,12.34
2023-04-21,6187.35,11.98
2023-04-24,6127.62,11.84
2023-04-25,5940.21,11.51
2023-04-26,6046.89,11.72
2023-04-27,6010.06,11.63
2023-04-28,6028.53,11.69
2023-05-01,6027.97,11.69
2023-05-02,6009.82,11.64
2023-05-03,5905.84,11.43
2023-05-04,5908.51,11.42
2023-05-05,6003.53,11.57
2023-05-08,5994.08,11.56
2023-05-09,5816.18,11.22
2023-05-10,5833.07,11.27
2023-05-11,5880.97,11.38
2023-05-12,5974.89,11.48
2023-05-15,6134.8,11.82
2023-05-16,6176.73,11.91
2023-05-17,6134.31,11.88
2023-05-18,6167.55,11.89
2023-05-19,5996.36,11.61
2023-05-22,6102.27,11.8
2023-05-23,6044.36,11.64
2023-05-24,5953.64,11.49
2023-05-25,5792.6,11.2
2023-05-26,5861.03,11.42
2023-05-29,5739.08,11.28
2023-05-30,5794.23,11.35
2023-05-31,5659.79,11.11
2023-06-01,5748.75,11.29
2023-06-02,6081.4,11.89
2023-06-05,6091.05,11.91
2023-06-06,6105.87,11.93
2023-06-07,6209.41,12.12
2023-06-08,6219.57,12.14
2023-06-09,6261.94,12.2
2023-06-12,6276.34,12.26
2023-06-13,6427.88,12.58
2023-06-14,6442.56,12.65
2023-06-15,6676.93,13.02
2023-06-16,6755.27,13.2
2023-06-19,6645.02,12.98
2023-06-20,6518.83,12.76
2023-06-21,6328.69,12.42
2023-06-22,6328.14,12.42
2023-06-23,6234.13,12.24
2023-06-26,6201.11,12.18
2023-06-27,6363.71,12.52
2023-06-29,6211.07,14.13
2023-06-30,6158.91,14.05
2023-07-03,6317.8,14.39
2023-07-04,6360.9,14.48
2023-07-05,6266.98,14.29
2023-07-06,6138.51,14.0
2023-07-07,6168.08,14.07
2023-07-10,6244.31,14.23
2023-07-11,6342.97,14.46
2023-07-12,6481.67,14.75
2023-07-13,6727.3,15.28
2023-07-14,6698.29,15.26
2023-07-17,6699.2,15.26
2023-07-18,6465.19,14.7
2023-07-19,6448.14,14.64
2023-07-20,6412.16,14.57
2023-07-21,6472.15,14.68
2023-07-24,6374.16,14.46
2023-07-25,6754.07,15.29
2023-07-26,6709.49,15.16
2023-07-27,6794.05,15.36
2023-07-28,6953.08,15.66
2023-07-31,7057.83,15.87
2023-08-01,7049.18,15.86
2023-08-02,6824.49,15.35
2023-08-03,6821.24,15.34
2023-08-04,6903.54,15.47
2023-08-07,6874.95,15.39
2023-08-08,6723.87,15.09
2023-08-09,6770.15,15.18
2023-08-10,6796.29,15.25
2023-08-11,6699.36,15.05
2023-08-14,6617.04,14.88
2023-08-15,6551.04,14.76
2023-08-16,6483.28,14.63
2023-08-17,6528.8,14.73
2023-08-18,6323.6,14.24
2023-08-21,6213.13,14.02
2023-08-22,6275.5,14.13
2023-08-23,6305.83,14.16
2023-08-24,6488.23,14.47
2023-08-25,6340.81,14.23
2023-08-28,6435.63,14.44
2023-08-29,6618.39,14.9
2023-08-30,6573.08,14.86
2023-08-31,6544.38,14.85
2023-09-01,6585.96,14.95
2023-09-04,6750.05,15.3
2023-09-05,6623.47,15.03
2023-09-06,6620.91,15.01
2023-09-07,6475.08,14.68
2023-09-08,6483.91,14.7
2023-09-11,6465.37,14.68
2023-09-12,6402.1,14.57
2023-09-13,6355.1,14.47
2023-09-14,6368.3,14.49
2023-09-15,6362.94,14.47
2023-09-18,6259.09,14.24
2023-09-19,6267.05,14.25
2023-09-20,6176.48,14.04
2023-09-21,6053.18,13.77
2023-09-22,6281.96,14.29
2023-09-25,6145.51,14.0
2023-09-26,6078.97,13.83
2023-09-27,6109.53,13.9
2023-09-28,6023.51,13.73
2023-09-29,6211.39,14.18
2023-10-02,6220.22,14.21
2023-10-03,6060.71,13.86
2023-10-04,5972.17,13.7
2023-10-05,5975.11,13.73
2023-10-06,6122.26,14.09
2023-10-09,6128.45,14.13
2023-10-10,6233.89,14.33
2023-10-11,6316.53,14.48
2023-10-12,6373.96,14.62
2023-10-13,6157.09,14.12
2023-10-16,6078.27,13.93
2023-10-17,6109.61,14.01
2023-10-18,6039.05,13.89
2023-10-19,5882.69,13.54
2023-10-20,5821.85,13.41
2023-10-23,5827.18,13.43
2023-10-24,5788.37,13.33
2023-10-25,5873.73,13.54
2023-10-26,5891.2,13.59
2023-10-27,6023.33,13.88
2023-10-30,6022.09,13.88
2023-10-31,5884.06,13.58
2023-11-01,5852.52,13.53
2023-11-02,5893.68,13.64
2023-11-03,6104.85,14.15
2023-11-06,6276.15,14.49
2023-11-07,6207.75,14.37
2023-11-08,6192.9,14.35
2023-11-09,6168.81,14.3
2023-11-10,6053.76,14.08
2023-11-13,6152.2,14.32
2023-11-14,6096.3,14.22
2023-11-15,6374.46,14.87
2023-11-16,6305.31,14.72
2023-11-17,6086.3,14.29
2023-11-20,6241.07,14.68
2023-11-21,6219.0,14.59
2023-11-22,6227.0,14.58
2023-11-23,6297.34,14.75
