序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
70,162201,宏利成长混合,2026-07-31,5.9756,8.3721,4.13,-9.8,-33.69,-2.45,33.24,131.92,245.21,266.6,44.67,4357.84,139.3399,0.15%
71,010392,易方达战略新兴产业股票C,2026-07-31,2.4041,2.5441,2.81,-7.93,-26.62,12.12,43.86,131.86,276.0,250.72,52.75,157.18,137.0348,0.00%
72,020639,广发半导体设备ETF联接A,2026-07-31,3.0739,3.0739,2.16,-9.04,-30.1,32.21,43.91,131.54,209.4,,68.05,207.39,132.2554,0.012%
73,630001,华商领先企业混合,2026-07-31,0.9764,2.88,2.56,-5.51,-18.02,34.86,45.92,131.35,165.5,113.91,80.73,265.7,127.3172,0.15%
74,021894,易方达半导体设备ETF联接C,2026-07-31,2.3231,2.3231,2.05,-9.17,-29.88,31.62,42.93,131.27,,,67.64,132.31,131.9852,0.00%
75,015576,宏利绩优混合C,2026-07-31,3.8032,4.0442,3.83,-9.34,-33.71,-3.13,36.59,131.17,238.18,189.83,50.18,162.61,135.755,0.00%
76,019632,国泰半导体设备ETF联接A,2026-07-31,2.6698,2.6698,2.11,-9.02,-29.8,32.05,43.64,130.93,192.58,,68.23,166.98,131.6127,0.01%
77,020640,广发半导体设备ETF联接C,2026-07-31,3.052,3.052,2.16,-9.05,-30.12,32.11,43.69,130.84,207.57,,67.75,205.2,131.563,0.00%
78,019633,国泰半导体设备ETF联接C,2026-07-31,2.6554,2.6554,2.11,-9.03,-29.82,31.98,43.5,130.46,191.45,,68.03,165.54,131.1657,0.00%
79,005819,国泰优势行业混合A,2026-07-31,4.1235,4.1235,2.72,-10.05,-25.19,42.9,47.89,129.3,157.73,145.2,59.44,312.35,126.6157,0.15%
80,110005,易方达积极成长混合,2026-07-31,1.3447,7.5381,3.0,-6.51,-21.93,20.93,41.49,129.16,204.3,123.52,67.15,2004.93,127.838,0.15%
81,020469,长城半导体混合发起式A,2026-07-31,3.4539,3.4539,4.77,-11.51,-28.59,9.85,34.5,128.51,239.75,,61.3,245.39,126.6934,0.15%
82,019829,华夏数字产业混合A,2026-07-31,3.5863,3.5863,5.55,-8.11,-34.98,-2.0,36.03,128.01,264.57,,42.37,258.63,130.068,0.15%
