date,close
2015-01-12,1540.037
2015-01-13,1552.009
2015-01-14,1540.923
2015-01-15,1544.678
2015-01-16,1607.683
2015-01-19,1592.755
2015-01-20,1663.132
2015-01-21,1681.162
2015-01-22,1702.435
2015-01-23,1649.343
2015-01-26,1696.572
2015-01-27,1695.23
2015-01-28,1679.1
2015-01-29,1659.946
2015-01-30,1625.943
2015-02-02,1648.011
2015-02-03,1706.705
2015-02-04,1717.247
2015-02-05,1739.08
2015-02-06,1686.463
2015-02-09,1660.88
2015-02-10,1708.96
2015-02-11,1733.536
2015-02-12,1746.303
2015-02-13,1785.648
2015-02-16,1869.558
2015-02-17,1864.524
2015-02-25,1844.644
2015-02-26,1849.085
2015-02-27,1895.684
2015-03-02,1949.558
2015-03-03,1914.179
2015-03-04,1957.482
2015-03-05,1961.621
2015-03-06,1900.62
2015-03-09,1949.079
2015-03-10,2009.724
2015-03-11,1995.897
2015-03-12,1982.038
2015-03-13,2032.739
2015-03-16,2103.152
2015-03-17,2091.011
2015-03-18,2128.907
2015-03-19,2123.015
2015-03-20,2146.612
2015-03-23,2220.43
2015-03-24,2292.177
2015-03-25,2312.034
2015-03-26,2209.65
2015-03-27,2244.559
2015-03-30,2218.592
2015-03-31,2253.385
2015-04-01,2315.506
2015-04-02,2385.015
2015-04-03,2411.82
2015-04-07,2460.914
2015-04-08,2392.878
2015-04-09,2395.456
2015-04-10,2445.447
2015-04-13,2462.74
2015-04-14,2430.906
2015-04-15,2322.874
2015-04-16,2369.373
2015-04-17,2356.356
2015-04-20,2334.596
2015-04-21,2479.228
2015-04-22,2541.256
2015-04-23,2621.634
2015-04-24,2662.772
2015-04-27,2681.648
2015-04-28,2641.91
2015-04-29,2766.926
2015-04-30,2831.208
2015-05-04,2812.99
2015-05-05,2746.133
2015-05-06,2811.786
2015-05-07,2758.354
2015-05-08,2929.482
2015-05-11,3116.045
2015-05-12,3231.53
2015-05-13,3168.974
2015-05-14,3091.689
2015-05-15,3086.623
2015-05-18,3220.252
2015-05-19,3242.71
2015-05-20,3324.544
2015-05-21,3441.948
2015-05-22,3436.266
2015-05-25,3378.055
2015-05-26,3521.411
2015-05-27,3500.982
2015-05-28,3294.842
2015-05-29,3393.586
2015-06-01,3565.249
2015-06-02,3754.427
2015-06-03,3871.404
2015-06-04,3852.026
2015-06-05,3753.901
2015-06-08,3587.356
2015-06-09,3591.674
2015-06-10,3721.217
2015-06-11,3730.058
2015-06-12,3768.259
2015-06-15,3547.16
2015-06-16,3460.683
2015-06-17,3625.707
2015-06-18,3371.019
2015-06-19,3169.332
2015-06-23,3264.565
2015-06-24,3246.32
2015-06-25,3069.779
2015-06-26,2772.764
2015-06-29,2537.609
2015-06-30,2717.21
2015-07-01,2610.521
2015-07-02,2513.963
2015-07-03,2490.396
2015-07-06,2379.208
2015-07-07,2217.916
2015-07-08,2231.874
2015-07-09,2314.324
2015-07-10,2430.604
2015-07-13,2589.441
2015-07-14,2621.464
2015-07-15,2478.045
2015-07-16,2519.367
2015-07-17,2687.622
2015-07-20,2740.137
2015-07-21,2757.281
2015-07-22,2766.524
2015-07-23,2834.532
2015-07-24,2751.518
2015-07-27,2535.093
2015-07-28,2442.508
2015-07-29,2565.92
2015-07-30,2435.773
2015-07-31,2432.132
2015-08-03,2296.576
2015-08-04,2442.466
2015-08-05,2381.246
2015-08-06,2355.602
2015-08-07,2448.095
2015-08-10,2573.131
2015-08-11,2564.521
2015-08-12,2492.612
2015-08-13,2554.446
2015-08-14,2530.147
2015-08-17,2507.252
2015-08-18,2363.632
2015-08-19,2435.148
2015-08-20,2370.093
2015-08-21,2211.188
2015-08-24,2033.054
2015-08-25,1879.452
2015-08-26,1780.334
2015-08-27,1849.295
2015-08-28,1962.439
2015-08-31,1885.53
2015-09-01,1803.135
2015-09-02,1783.111
2015-09-07,1816.122
2015-09-08,1918.316
2015-09-09,1984.249
2015-09-10,1950.122
2015-09-11,1971.052
2015-09-14,1818.875
2015-09-15,1707.873
2015-09-16,1835.353
2015-09-17,1835.671
2015-09-18,1893.253
2015-09-21,1989.012
2015-09-22,1987.093
2015-09-23,1992.03
2015-09-24,2026.032
2015-09-25,1949.77
2015-09-28,2045.079
2015-09-29,2021.074
2015-09-30,2002.07
2015-10-08,2101.286
2015-10-09,2123.523
2015-10-12,2215.919
2015-10-13,2237.957
2015-10-14,2206.156
2015-10-15,2304.079
2015-10-16,2359.791
2015-10-19,2346.243
2015-10-20,2424.252
2015-10-21,2265.73
2015-10-22,2370.147
2015-10-23,2454.364
2015-10-26,2445.201
2015-10-27,2490.762
2015-10-28,2413.55
2015-10-29,2415.009
2015-10-30,2400.109
2015-11-02,2351.44
2015-11-03,2350.344
2015-11-04,2500.032
2015-11-05,2489.557
2015-11-06,2581.942
2015-11-09,2638.328
2015-11-10,2666.701
2015-11-11,2716.199
2015-11-12,2671.51
2015-11-13,2607.536
2015-11-16,2698.845
2015-11-17,2618.353
2015-11-18,2568.934
2015-11-19,2673.986
2015-11-20,2685.259
2015-11-23,2661.574
2015-11-24,2699.058
2015-11-25,2769.888
2015-11-26,2691.245
2015-11-27,2520.64
2015-11-30,2544.23
2015-12-01,2540.541
2015-12-02,2511.323
2015-12-03,2606.059
2015-12-04,2588.159
2015-12-07,2640.373
2015-12-08,2597.434
2015-12-09,2569.082
2015-12-10,2598.07
2015-12-11,2571.554
2015-12-14,2616.441
2015-12-15,2645.138
2015-12-16,2655.111
2015-12-17,2720.639
2015-12-18,2720.438
2015-12-21,2720.423
2015-12-22,2729.72
2015-12-23,2672.007
2015-12-24,2684.151
2015-12-25,2681.536
2015-12-28,2632.665
2015-12-29,2644.681
2015-12-30,2663.504
2015-12-31,2596.069
2016-01-04,2385.392
2016-01-05,2319.518
2016-01-06,2365.678
2016-01-07,2166.157
2016-01-08,2157.007
2016-01-11,2028.782
2016-01-12,2066.995
2016-01-13,1981.382
2016-01-14,2093.751
2016-01-15,2033.877
2016-01-18,2096.912
2016-01-19,2155.34
2016-01-20,2115.677
2016-01-21,2025.821
2016-01-22,2071.301
2016-01-25,2081.097
2016-01-26,1917.472
2016-01-27,1936.415
2016-01-28,1848.139
2016-01-29,1932.689
2016-02-01,1926.897
2016-02-02,2005.188
2016-02-03,2017.122
2016-02-04,2054.032
2016-02-05,2019.439
2016-02-15,2037.838
2016-02-16,2121.473
2016-02-17,2129.453
2016-02-18,2105.845
2016-02-19,2127.286
2016-02-22,2156.37
2016-02-23,2123.838
2016-02-24,2112.745
2016-02-25,1949.237
2016-02-26,1923.015
2016-02-29,1781.14
2016-03-01,1830.914
2016-03-02,1906.767
2016-03-03,1902.832
2016-03-04,1803.82
2016-03-07,1851.274
2016-03-08,1898.853
2016-03-09,1872.01
2016-03-10,1838.735
2016-03-11,1835.614
2016-03-14,1921.254
2016-03-15,1894.796
2016-03-16,1879.769
2016-03-17,1983.039
2016-03-18,2073.172
2016-03-21,2125.669
2016-03-22,2114.799
2016-03-23,2151.517
2016-03-24,2112.505
2016-03-25,2110.849
2016-03-28,2094.666
2016-03-29,2057.976
2016-03-30,2145.378
2016-03-31,2137.417
2016-04-01,2109.515
2016-04-05,2183.32
2016-04-06,2200.805
2016-04-07,2154.927
2016-04-08,2138.013
2016-04-11,2181.961
2016-04-12,2166.972
2016-04-13,2197.211
2016-04-14,2233.879
2016-04-15,2214.577
2016-04-18,2176.513
2016-04-19,2182.141
2016-04-20,2063.01
2016-04-21,2027.225
2016-04-22,2050.078
2016-04-25,2038.895
2016-04-26,2065.963
2016-04-27,2061.395
2016-04-28,2074.049
2016-04-29,2058.21
2016-05-03,2131.984
2016-05-04,2122.792
2016-05-05,2134.487
2016-05-06,2040.148
2016-05-09,1973.407
2016-05-10,1973.287
2016-05-11,1944.78
2016-05-12,1941.276
2016-05-13,1933.037
2016-05-16,1958.716
2016-05-17,1984.355
2016-05-18,1929.908
2016-05-19,1950.684
2016-05-20,1979.65
2016-05-23,2004.512
2016-05-24,1986.759
2016-05-25,1981.911
2016-05-26,1999.817
2016-05-27,1981.884
2016-05-30,1971.56
2016-05-31,2068.737
2016-06-01,2071.023
2016-06-02,2089.317
2016-06-03,2107.604
2016-06-06,2103.708
2016-06-07,2097.212
2016-06-08,2087.681
2016-06-13,1945.7
2016-06-14,1943.476
2016-06-15,2009.302
2016-06-16,1981.875
2016-06-17,1999.345
2016-06-20,1994.787
2016-06-21,1965.743
2016-06-22,2017.56
2016-06-23,2010.182
2016-06-24,1994.515
2016-06-27,2052.637
2016-06-28,2079.416
2016-06-29,2070.649
2016-06-30,2099.182
2016-07-01,2076.736
2016-07-04,2116.372
2016-07-05,2115.293
2016-07-06,2112.854
2016-07-07,2108.166
2016-07-08,2111.248
2016-07-11,2092.857
2016-07-12,2121.149
2016-07-13,2159.885
2016-07-14,2167.642
2016-07-15,2138.32
2016-07-18,2119.961
2016-07-19,2144.811
2016-07-20,2144.377
2016-07-21,2138.418
2016-07-22,2121.798
2016-07-25,2113.198
2016-07-26,2146.362
2016-07-27,2019.686
2016-07-28,2007.192
2016-07-29,1988.032
2016-08-01,1963.859
2016-08-02,1979.503
2016-08-03,1972.332
2016-08-04,1997.401
2016-08-05,1972.281
2016-08-08,1991.156
2016-08-09,2013.295
2016-08-10,1995.234
2016-08-11,1963.555
2016-08-12,1982.78
2016-08-15,2058.082
2016-08-16,2067.704
2016-08-17,2072.308
2016-08-18,2067.561
2016-08-19,2063.405
2016-08-22,2022.878
2016-08-23,2030.403
2016-08-24,2046.386
2016-08-25,2027.935
2016-08-26,2039.137
2016-08-29,2042.489
2016-08-30,2045.724
2016-08-31,2047.233
2016-09-01,2033.483
2016-09-02,2024.264
2016-09-05,2034.104
2016-09-06,2069.101
2016-09-07,2058.549
2016-09-08,2073.29
2016-09-09,2046.47
2016-09-12,1990.863
2016-09-13,1980.872
2016-09-14,1976.443
2016-09-19,1998.01
2016-09-20,1993.342
2016-09-21,1994.529
2016-09-22,1999.103
2016-09-23,1980.711
2016-09-26,1947.886
2016-09-27,1967.322
2016-09-28,1960.732
2016-09-29,1963.523
2016-09-30,1968.814
2016-10-10,2022.553
2016-10-11,2022.577
2016-10-12,2021.266
2016-10-13,2020.525
2016-10-14,2003.899
2016-10-17,1981.93
2016-10-18,2012.322
2016-10-19,2001.55
2016-10-20,2005.317
2016-10-21,1996.383
2016-10-24,2016.538
2016-10-25,2020.398
2016-10-26,2008.662
2016-10-27,2010.052
2016-10-28,1995.457
2016-10-31,1989.102
2016-11-01,2002.78
2016-11-02,1970.187
2016-11-03,1977.2
2016-11-04,1969.75
2016-11-07,1950.601
2016-11-08,1967.738
2016-11-09,1938.578
2016-11-10,1956.954
2016-11-11,1966.436
2016-11-14,1983.601
2016-11-15,2004.205
2016-11-16,2001.435
2016-11-17,1978.49
2016-11-18,1974.02
2016-11-21,1967.884
2016-11-22,1998.601
2016-11-23,1990.309
2016-11-24,1971.697
2016-11-25,1995.837
2016-11-28,1992.591
2016-11-29,1994.421
2016-11-30,2019.944
2016-12-01,2014.952
2016-12-02,1976.376
2016-12-05,1970.153
2016-12-06,1935.617
2016-12-07,1948.774
2016-12-08,1925.938
2016-12-09,1911.641
2016-12-12,1799.398
2016-12-13,1799.651
2016-12-14,1781.721
2016-12-15,1797.29
2016-12-16,1820.594
2016-12-19,1802.312
2016-12-20,1808.098
2016-12-21,1813.147
2016-12-22,1806.055
2016-12-23,1784.508
2016-12-26,1788.942
2016-12-27,1782.393
2016-12-28,1771.04
2016-12-29,1773.235
2016-12-30,1775.13
2017-01-03,1781.329
2017-01-04,1812.381
2017-01-05,1804.705
2017-01-06,1781.028
2017-01-09,1783.718
2017-01-10,1772.301
2017-01-11,1759.192
2017-01-12,1748.054
2017-01-13,1718.989
2017-01-16,1635.877
2017-01-17,1685.751
2017-01-18,1660.946
2017-01-19,1662.466
2017-01-20,1698.539
2017-01-23,1702.593
2017-01-24,1672.457
2017-01-25,1678.58
2017-01-26,1691.868
2017-02-03,1684.305
2017-02-06,1706.429
2017-02-07,1692.654
2017-02-08,1708.454
2017-02-09,1720.264
2017-02-10,1711.095
2017-02-13,1721.814
2017-02-14,1721.797
2017-02-15,1699.439
2017-02-16,1704.208
2017-02-17,1688.909
2017-02-20,1700.417
2017-02-21,1726.829
2017-02-22,1729.709
2017-02-23,1730.233
2017-02-24,1743.333
2017-02-27,1730.777
2017-02-28,1730.792
2017-03-01,1733.079
2017-03-02,1716.212
2017-03-03,1718.836
2017-03-06,1754.256
2017-03-07,1768.769
2017-03-08,1752.425
