date,equity,n_pos,drawdown
2009-04-16,97914.87666955247,6,-0.02833071133075249
2009-04-17,97470.65781909088,6,-0.032738967043499656
2009-04-20,98211.59246066333,6,-0.02538621881345482
2009-04-21,97772.85227231513,6,-0.029740106406671574
2009-04-22,96265.29133782667,6,-0.04470055685776686
2009-04-23,96579.39664193506,6,-0.04158349755287427
2009-04-24,96395.39622264387,6,-0.04340944640363864
2009-04-27,95447.85260353854,6,-0.05281250205437882
2009-04-28,95590.39911876092,6,-0.051397925681925694
2009-04-29,96587.47326730828,6,-0.04150334825280699
2009-04-30,96915.66307459219,4,-0.038246519796920064
2009-05-04,97722.74767740481,4,-0.030237324988275582
2009-05-05,97925.33734592152,4,-0.028226903632553424
2009-05-06,98326.25926077648,4,-0.024248309928822875
2009-05-07,98224.46587613338,4,-0.025258468027486436
2009-05-08,98292.84315773219,4,-0.024579918384856847
2009-05-11,97498.34106814503,4,-0.03246424920866764
2009-05-12,98153.4753948396,4,-0.025962950051130473
2009-05-13,98370.6426592668,4,-0.02380786628321263
2009-05-14,98309.07396912284,4,-0.024418850102948086
2009-05-15,98432.89104598112,4,-0.023190137418132917
2009-05-18,98859.0887896056,4,-0.018960716185467352
2009-05-19,99154.0829407711,4,-0.016033308555757242
2009-05-20,98878.63318177736,4,-0.018766765212081538
2009-05-21,98300.08099403308,4,-0.02450809290246636
2009-05-22,98190.9638535351,4,-0.025590929115875682
2009-05-25,98310.34713944109,4,-0.024406215654133256
2009-05-26,98067.1390670327,4,-0.02681971830821117
2009-05-27,98392.05016856059,4,-0.02359542645756829
2009-06-01,99214.25769472461,4,-0.015436157618548885
2009-06-02,99252.61524558214,4,-0.015055512149499184
2009-06-03,99886.1112253448,4,-0.008768943560864884
2009-06-04,99959.64282524485,4,-0.008039244460995465
2009-06-05,99865.77879352588,4,-0.008970714734300334
2009-06-08,99788.30794560013,4,-0.009739505404901538
2009-06-09,99784.44107691175,4,-0.009777878711140664
2009-06-10,99973.17840384158,4,-0.007904922624782595
2009-06-11,99730.07680998542,4,-0.010317368626974521
2009-06-12,99232.3283923633,4,-0.01525683101857167
2009-06-15,99682.07830875933,4,-0.01079368715108342
2009-06-16,99631.42862668812,4,-0.011296314966420806
2009-06-17,100218.4877101428,4,-0.005470568139895882
2009-06-18,100681.12143174361,4,-0.0008795703827384482
2009-06-19,100753.19565939362,4,-0.0001643336802665818
2009-06-22,100641.32994813853,4,-0.0012744456446470709
2009-06-23,100622.0061012051,4,-0.0014662080125610322
2009-06-24,101043.66573029658,4,0.0
2009-06-25,101056.58413779718,4,0.0
2009-06-26,101196.18029190766,4,0.0
2009-06-29,101662.1415996879,4,0.0
2009-06-30,101527.1263332976,3,-0.001328078124912424
2009-07-01,102051.25964232697,3,0.0
2009-07-02,102296.01688733097,3,0.0
2009-07-03,102657.8716113746,3,0.0
2009-07-06,102956.41981867036,3,0.0
2009-07-07,102739.87138675699,3,-0.002103301885348796
2009-07-08,102864.58335285635,3,-0.0008919935830689063
2009-07-09,103267.98216196103,3,0.0
2009-07-10,103367.98588031612,3,0.0
2009-07-13,103241.3861367802,3,-0.0012247480925332566
2009-07-14,103901.2313698295,3,0.0
2009-07-15,104127.81795484503,3,0.0
2009-07-16,104124.64697726702,3,-3.0452742026954027e-05
2009-07-17,104187.10642969272,3,0.0
2009-07-20,104625.67800448739,3,0.0
2009-07-21,104291.00672211895,3,-0.0031987489950037196
2009-07-22,104752.86525915943,3,0.0
2009-07-23,105036.93397696238,3,0.0
2009-07-24,105076.56748299886,3,0.0
2009-07-27,105599.25132350202,3,0.0
2009-07-28,105725.40782531886,3,0.0
2009-07-29,104293.74111524667,3,-0.013541368527398956
2009-07-30,104807.94652749243,3,-0.008677774971010521
2009-07-31,105512.27654659268,1,-0.0020158946000787825
2009-08-03,105702.48841186955,1,-0.00021678245485878822
2009-08-04,105769.62201137902,1,0.0
2009-08-05,105680.11054536639,1,-0.0008462870936892797
2009-08-06,105523.46547984426,1,-0.0023272895076459355
2009-08-07,105221.36428205161,1,-0.005183508448847629
2009-08-10,105221.36428205161,1,-0.005183508448847629
2009-08-11,105266.12001505792,1,-0.004760364902003045
2009-08-12,104885.69628450421,1,-0.008357085050183066
2009-08-13,104964.01881726527,1,-0.007616583843204849
2009-08-14,104695.48441922736,1,-0.010155445124273021
2009-08-17,104169.60455640311,1,-0.015127381799698414
2009-08-18,104270.30495566732,1,-0.01417530881929785
2009-08-19,103957.0148246231,1,-0.017137313647210717
2009-08-20,104292.6828221705,1,-0.01396373704587539
2009-08-21,104438.13895444102,1,-0.01258852051863013
2009-08-24,104538.83935370525,1,-0.011636447538229455
2009-08-25,104315.06068867365,1,-0.013752165272453043
2009-08-26,104527.65042045366,1,-0.01174223342494074
2009-08-27,104505.2725539505,1,-0.011953805198362977
2009-08-28,104214.36028940942,1,-0.014704238252853719
2009-08-31,103621.3468270757,1,-0.020310890248546043
2009-09-01,103610.15789382411,1,-0.020416676135257217
2009-09-02,103677.2914933336,1,-0.019781960814990174
2009-09-03,104057.71522388731,1,-0.016185240666810152
2009-09-04,104180.7934896547,1,-0.015021595912987129
2009-09-07,104292.6828221705,1,-0.01396373704587539
2009-09-08,104482.89468744735,1,-0.012165376971785324
2009-09-09,104583.59508671156,1,-0.01121330399138476
2009-09-10,104505.2725539505,1,-0.011953805198362977
2009-09-11,104673.1065527242,1,-0.01036701689769537
2009-09-14,104784.99588524,1,-0.00930915803058352
2009-09-15,104807.37375174316,1,-0.009097586257161283
2009-09-16,104706.67335247895,1,-0.010049659237561737
2009-09-17,104896.8852177558,1,-0.008251299163471781
2009-09-18,104617.1618864663,1,-0.010895946331251238
2009-09-21,104762.61801873683,1,-0.009520729804005978
2009-09-22,104605.97295321472,1,-0.011001732217962523
2009-09-23,104404.57215468628,1,-0.012905878178763652
