code,name,ftype,channel,S_total,S_v4_raw,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
023036,中欧资源精选混合发起A,混合型-偏股,新星,25.2,-0.12936310814779364,Sell/Avoid 红灯,0.0,0.7858,True,True,0,99.4,0.8,0.373,0.0,-0.1876,-0.0545,0.05384615384615385,0.16,8.84,965,False,经理任期2年(归因平滑4%)(-4%); 回撤比值2.39(平滑60%)(-60%),0.8557,标准,2026-08-07,
519195,万家品质生活混合A,混合型-灵活,右侧,25.2,-0.23122719990713916,Sell/Avoid 红灯,0.0,0.7893,True,True,0,86.0,0.677,0.854,0.0,0.1893,0.2215,0.2907692307692308,0.2753846153846154,27.41,4106,False,回撤比值1.33(平滑7%)(-7%),0.8557,标准,2026-08-07,
015143,中欧智能制造混合A,混合型-偏股,右侧,25.1,-0.2533012849026175,Sell/Avoid 红灯,0.0,0.8162,True,True,0,95.1,0.677,0.672,0.0,0.2607,0.2956,0.32461538461538464,0.3123076923076923,3.24,2361,False,,0.8557,标准,2026-08-07,
009162,富国医药成长30股票A,股票型,左侧,25.0,-0.09261066036902213,Sell/Avoid 红灯,0.0,0.7321,True,True,0,27.8,0.355,0.948,0.0,-0.0225,-0.1085,0.18307692307692308,0.13230769230769232,3.39,2306,False,回撤比值1.60(平滑20%)(-20%),0.8557,标准,2026-08-07,
001712,东方红优势精选混合,混合型-灵活,右侧,25.0,-0.22324946475007693,Sell/Avoid 红灯,0.0,0.8094,True,True,0,73.1,0.548,0.807,0.0,0.1633,0.2923,0.2784615384615385,0.31076923076923074,8.59,2186,False,,0.8557,标准,2026-08-07,
582003,东吴配置优化混合A,混合型-灵活,右侧,25.0,-0.2308539552153365,Sell/Avoid 红灯,0.0,0.8133,True,True,0,78.4,0.581,0.818,0.0,0.2835,0.3735,0.3353846153846154,0.3553846153846154,0.53,5036,False,,0.8557,标准,2026-08-07,
007808,华银量化优选灵活配置,混合型-灵活,右侧,24.8,-0.21830892193559884,Sell/Avoid 红灯,0.0,0.8231,True,True,0,66.0,0.677,0.979,3.0,0.2877,0.4674,0.3415384615384615,0.46153846153846156,2.53,3051,False,,0.8557,标准,2026-08-07,
019888,中欧周期优选混合发起A,混合型-偏股,新星,24.8,-0.20249623540617603,Sell/Avoid 红灯,0.0,0.7665,True,True,0,85.2,0.583,0.579,0.0,-0.1601,-0.0615,0.07538461538461538,0.15384615384615385,23.18,993,False,经理任期2年(归因平滑3%)(-3%); 回撤比值1.64(平滑22%)(-22%),0.8557,标准,2026-08-07,
008009,华商高端装备制造股票A,股票型,右侧,24.6,-0.19749266109593902,Sell/Avoid 红灯,0.0,0.8132,True,True,0,87.2,0.677,0.842,0.0,0.1896,0.418,0.2923076923076923,0.4076923076923077,10.56,573,False,经理任期1年(归因平滑14%)(-14%); 回撤比值1.33(平滑6%)(-6%),0.8557,标准,2026-08-07,
014031,南方发展机遇一年持有混合A,混合型-偏股,右侧,24.6,-0.25483021317567844,Sell/Avoid 红灯,0.0,0.7243,True,False,0,98.7,0.839,0.679,0.0,-0.1893,-0.1021,0.04923076923076923,0.13692307692307693,1.11,975,False,经理任期2年(归因平滑3%)(-3%),0.8557,标准,2026-08-07,
021875,路博迈资源精选股票发起A,股票型,新星,24.6,-0.145049930293818,Sell/Avoid 红灯,0.0,0.7734,True,True,0,89.9,0.812,0.85,0.0,-0.1439,0.0109,0.0876923076923077,0.21,4.43,683,False,经理任期1年(归因平滑11%)(-11%); 回撤比值1.91(平滑36%)(-36%),0.8557,标准,2026-08-07,
519196,万家新兴蓝筹A,混合型-灵活,右侧,24.4,-0.2442395630356288,Sell/Avoid 红灯,0.0,0.7897,True,True,0,87.7,0.71,0.852,0.0,0.1949,0.2278,0.29384615384615387,0.27692307692307694,29.77,4106,False,回撤比值1.25(平滑3%)(-3%),0.8557,标准,2026-08-07,
013356,大摩沪港深精选混合A,混合型-偏股,左侧,24.3,-0.09308197288964351,Sell/Avoid 红灯,0.0,0.7346,True,True,0,22.5,0.258,0.967,0.0,-0.017,-0.0816,0.18769230769230769,0.14461538461538462,0.38,4210,False,回撤比值1.58(平滑19%)(-19%),0.8557,标准,2026-08-07,
002860,前海开源沪港深新机遇混合A,混合型-灵活,右侧,24.3,-0.27385042698180606,Sell/Avoid 红灯,0.0,0.8259,True,True,0,97.9,0.742,0.65,0.0,0.2839,0.3357,0.33692307692307694,0.3261538461538461,0.8,2204,False,,0.8557,标准,2026-08-07,
022981,天弘中证科创创业50ETF联接Y,指数型-股票,新星,24.2,-0.18335543327151096,Sell/Avoid 红灯,0.0,0.8143,False,False,0,51.0,0.786,1.184,10.3,0.3757,0.3869,0.4376923076923077,0.37615384615384617,5.77,1335,True,回撤比值1.47(平滑14%)(-14%),0.8557,标准,2026-08-07,
010110,广发医药健康混合A,混合型-偏股,左侧,24.2,-0.06583176073024691,Sell/Avoid 红灯,0.0,0.7162,True,True,0,1.9,0.323,1.301,0.0,0.0159,-0.0119,0.19538461538461538,0.18769230769230769,9.76,4189,False,回撤比值1.36(平滑8%)(-8%),0.8557,标准,2026-08-07,
000339,长城医疗保健混合A,混合型-偏股,左侧,24.0,-0.11695956467815197,Sell/Avoid 红灯,0.0,0.7287,True,True,0,27.3,0.323,0.946,0.0,0.0391,0.0082,0.20461538461538462,0.20461538461538462,2.33,3833,False,回撤比值1.28(平滑4%)(-4%),0.8557,标准,2026-08-07,
022941,鹏扬中证科创创业50ETF联接Y,指数型-股票,新星,24.0,-0.1854562111421099,Sell/Avoid 红灯,0.0,0.8142,False,False,0,51.6,0.857,1.179,8.6,0.374,0.3864,0.4307692307692308,0.3723076923076923,0.43,2531,True,回撤比值1.46(平滑13%)(-13%),0.8557,标准,2026-08-07,
217019,招商深证TMT50ETF联接A,指数型-股票,右侧,23.8,-0.18228032349544224,Sell/Avoid 红灯,0.0,0.8169,True,True,0,40.0,0.613,1.647,10.5,0.3698,0.4097,0.4246153846153846,0.39692307692307693,4.02,3267,True,,0.8557,标准,2026-08-07,
016729,长信中证科创创业50指数增强A,指数型-股票,右侧,23.8,-0.22734383894454094,Sell/Avoid 红灯,0.0,0.8133,True,True,0,69.4,0.71,0.968,0.0,0.3596,0.3668,0.4023076923076923,0.34307692307692306,1.95,4160,True,,0.8557,标准,2026-08-07,
009199,万家价值优势一年持有期混合,混合型-偏股,右侧,23.8,-0.22571207698659237,Sell/Avoid 红灯,0.0,0.7838,True,True,0,71.9,0.516,0.578,0.0,0.1031,0.1094,0.2569230769230769,0.2569230769230769,7.15,4106,False,回撤比值1.32(平滑6%)(-6%),0.8557,标准,2026-08-07,
671030,西部利得事件驱动股票A,股票型,右侧,23.6,-0.24012724631010976,Sell/Avoid 红灯,0.0,0.8244,True,True,0,76.3,0.677,0.92,0.0,0.1637,0.2636,0.28,0.2953846153846154,10.01,2096,False,,0.8557,标准,2026-08-07,
004040,金鹰医疗健康产业A,股票型,左侧,23.6,-0.08337696739437553,Sell/Avoid 红灯,0.0,0.7534,True,True,0,9.9,0.226,1.051,0.0,0.1573,0.1365,0.2723076923076923,0.26,1.08,2965,False,回撤比值1.51(平滑15%)(-15%),0.8557,标准,2026-08-07,
005775,中加转型动力混合A,混合型-灵活,右侧,23.4,-0.26422019060591606,Sell/Avoid 红灯,0.0,0.7757,True,True,0,90.0,0.613,0.34,0.0,-0.0125,0.0474,0.19076923076923077,0.22923076923076924,0.97,1341,False,,0.8557,标准,2026-08-07,
011188,信澳星奕混合A,混合型-偏股,左侧,23.3,-0.1913604132890391,Sell/Avoid 红灯,20.0,0.7056,True,False,20,43.8,0.484,0.933,0.0,-0.304,-0.3191,0.003076923076923077,0.004615384615384616,5.41,1895,False,回撤比值1.75(平滑28%)(-28%),0.8557,标准,2026-08-07,
023461,中欧中证人工智能主题指数发起A,指数型-股票,新星,23.2,-0.21073779950237162,Sell/Avoid 红灯,0.0,0.8127,False,False,0,50.3,0.889,1.279,10.4,0.3755,0.3881,0.43538461538461537,0.38,2.48,929,True,回撤比值1.27(平滑4%)(-4%),0.8557,标准,2026-08-07,
016568,嘉实碳中和主题混合A,混合型-偏股,右侧,23.2,-0.2815233794564298,Sell/Avoid 红灯,0.0,0.8163,True,True,0,95.4,0.71,0.734,0.0,0.0925,0.2366,0.2523076923076923,0.2815384615384615,0.45,1893,False,,0.8557,标准,2026-08-07,
008020,华富中证人工智能产业ETF联接A,指数型-股票,右侧,22.9,-0.19250315963467104,Sell/Avoid 红灯,0.0,0.8129,False,False,0,50.6,0.806,1.217,2.9,0.3537,0.397,0.3923076923076923,0.38461538461538464,11.76,6242,True,回撤比值1.43(平滑12%)(-12%),0.8557,标准,2026-08-07,
004784,招商稳健优选股票A,股票型,右侧,22.9,-0.18462606282179053,Sell/Avoid 红灯,0.0,0.8236,False,False,0,24.4,0.484,1.06,26.5,0.4342,0.4123,0.5061538461538462,0.40307692307692305,5.88,1769,False,,0.8557,标准,2026-08-07,
320016,诺安多策略混合A,混合型-偏股,右侧,22.9,-0.16160513148771363,Sell/Avoid 红灯,0.0,0.7525,True,True,0,47.9,0.71,1.32,0.0,-0.1831,-0.0873,0.06,0.14153846153846153,13.9,1586,False,回撤比值1.73(平滑26%)(-26%),0.8557,标准,2026-08-07,
014543,汇添富中证沪港深云计算产业ETF联接A,指数型-股票,右侧,22.8,-0.23554355598426838,Sell/Avoid 红灯,0.0,0.8005,True,True,0,77.6,0.645,0.897,0.0,0.1122,0.1143,0.26,0.25846153846153846,3.46,502,True,回撤比值1.43(平滑12%)(-12%),0.8557,标准,2026-08-07,
167002,平安鼎越混合(LOF)A,混合型-灵活,右侧,22.8,-0.27644849077050104,Sell/Avoid 红灯,0.0,0.8191,True,True,0,90.0,0.806,0.849,0.0,0.1367,0.4111,0.26615384615384613,0.3984615384615385,35.33,3832,False,,0.8557,标准,2026-08-07,
021749,易方达创业板成长ETF联接发起式A,指数型-股票,新星,22.8,-0.18636602201992905,Sell/Avoid 红灯,0.0,0.8115,True,True,0,52.8,1.0,1.148,0.0,0.254,0.3062,0.31846153846153846,0.3153846153846154,1.75,205,True,回撤比值1.55(平滑18%)(-18%),0.8557,标准,2026-08-07,
000913,农银医疗保健股票,股票型,左侧,22.7,-0.08184255798347187,Sell/Avoid 红灯,0.0,0.7273,True,True,0,1.7,0.323,1.367,0.0,0.0709,0.0109,0.23846153846153847,0.21,10.93,1985,False,回撤比值1.24(平滑2%)(-2%),0.8557,标准,2026-08-07,
009189,华宝成长策略混合A,混合型-偏股,右侧,22.6,-0.2524263984077698,Sell/Avoid 红灯,0.0,0.8081,True,True,0,79.9,0.613,0.854,0.0,0.2397,0.2516,0.31384615384615383,0.2876923076923077,1.73,2523,False,,0.8557,标准,2026-08-07,
015604,华安动力领航混合A,混合型-偏股,右侧,22.6,-0.2550141024485244,Sell/Avoid 红灯,0.0,0.8241,False,False,0,80.0,0.742,0.913,3.8,0.3531,0.4081,0.39076923076923076,0.39384615384615385,1.3,2029,False,,0.8557,标准,2026-08-07,
022910,易方达中证科创创业50联接Y,指数型-股票,新星,22.6,-0.19866885338756193,Sell/Avoid 红灯,0.0,0.8142,False,False,0,50.9,0.857,1.215,6.3,0.3696,0.3824,0.42153846153846153,0.3676923076923077,7.18,1748,True,回撤比值1.47(平滑14%)(-14%),0.8557,标准,2026-08-07,
014478,中加低碳经济六个月持有混合A,混合型-偏股,右侧,22.6,-0.2829720366104074,Sell/Avoid 红灯,0.0,0.8062,True,True,0,92.7,0.645,0.67,0.0,-0.0511,0.0695,0.1646153846153846,0.24076923076923076,0.23,1237,False,,0.8557,标准,2026-08-07,
021647,东方红动力领航混合A,混合型-偏股,新星,22.6,-0.2847247887192934,Sell/Avoid 红灯,0.0,0.814,True,True,0,93.6,0.867,0.814,0.0,0.2588,0.313,0.3230769230769231,0.31846153846153846,1.92,3979,False,,0.8557,标准,2026-08-07,
008293,农银汇理创新医疗混合,混合型-偏股,左侧,22.6,-0.08880983789846289,Sell/Avoid 红灯,0.0,0.7275,True,True,0,6.9,0.323,1.099,0.0,0.0682,0.009,0.2353846153846154,0.2076923076923077,4.82,1985,False,回撤比值1.24(平滑2%)(-2%),0.8557,标准,2026-08-07,
005660,嘉实资源精选股票A,股票型,右侧,22.4,-0.24902542147593867,Sell/Avoid 红灯,0.0,0.7627,True,True,0,93.7,0.677,0.739,0.0,-0.237,-0.1414,0.021538461538461538,0.12,7.35,1893,False,回撤比值1.54(平滑17%)(-17%),0.8557,标准,2026-08-07,
011815,恒越优势精选混合A,混合型-偏股,右侧,22.4,-0.17357784944178792,Sell/Avoid 红灯,0.0,0.8204,True,True,0,42.3,0.581,1.073,0.0,0.3219,0.35,0.3630769230769231,0.3323076923076923,8.58,1213,False,回撤比值1.48(平滑14%)(-14%),0.8557,标准,2026-08-07,
009852,银华品质消费股票A,股票型,左侧,22.4,-0.16084233000808815,Sell/Avoid 红灯,31.3,0.6869,True,False,0,0.8,0.258,1.319,0.0,-0.1362,-0.1767,0.09230769230769231,0.07538461538461538,2.62,2826,False,回撤比值1.46(平滑13%)(-13%),0.8557,标准,2026-08-07,
022939,华夏科创创业50ETF发起式联接Y,指数型-股票,新星,22.3,-0.1992625050924778,Sell/Avoid 红灯,0.0,0.8142,False,False,0,50.8,0.857,1.223,4.7,0.3677,0.3773,0.41846153846153844,0.36,2.68,4865,True,回撤比值1.48(平滑14%)(-14%),0.8557,标准,2026-08-07,
013313,富国中证科创创业50ETF联接A,指数型-股票,右侧,22.2,-0.21792593295697096,Sell/Avoid 红灯,0.0,0.8142,False,False,0,43.9,0.613,1.122,12.3,0.3808,0.3894,0.44461538461538463,0.38153846153846155,4.38,2265,True,,0.8557,标准,2026-08-07,
014673,富国中证港股通互联网ETF发起式联接A,指数型-股票,左侧,22.1,-0.13362706410880223,Sell/Avoid 红灯,0.0,0.7146,True,True,0,28.8,0.548,1.561,0.0,-0.2101,-0.2955,0.03230769230769231,0.013846153846153847,19.57,3495,True,回撤比值1.94(平滑37%)(-37%),0.8557,标准,2026-08-07,
022704,银河科技成长混合发起式A,混合型-偏股,新星,22.0,-0.22108132868125777,Sell/Avoid 红灯,0.0,0.8122,True,True,0,60.3,0.917,1.043,0.0,0.3094,0.3308,0.3507692307692308,0.3230769230769231,0.28,1494,False,回撤比值1.39(平滑10%)(-10%),0.8557,标准,2026-08-07,
004890,中邮健康文娱灵活配置混合A,混合型-灵活,右侧,21.8,-0.22061250081593234,Sell/Avoid 红灯,0.0,0.8181,True,True,0,53.8,0.806,1.116,0.0,0.2021,0.2063,0.29846153846153844,0.2723076923076923,1.23,1550,False,回撤比值1.25(平滑3%)(-3%),0.8557,标准,2026-08-07,
001323,东吴移动互联混合A,混合型-灵活,右侧,21.8,-0.26536527488190376,Sell/Avoid 红灯,0.0,0.8137,True,True,0,84.7,0.742,0.883,0.0,0.2631,0.2723,0.32769230769230767,0.3,39.15,5060,False,回撤比值1.25(平滑3%)(-3%),0.8557,标准,2026-08-07,
016485,中欧成长先锋混合A,混合型-偏股,右侧,21.8,-0.24439723079386336,Sell/Avoid 红灯,0.0,0.8153,True,True,0,75.0,0.677,0.928,0.0,0.298,0.281,0.34692307692307695,0.3046153846153846,6.48,2001,False,回撤比值1.30(平滑5%)(-5%),0.8557,标准,2026-08-07,
004206,华商元亨混合A,混合型-灵活,右侧,21.7,-0.33805327038700206,Sell/Avoid 红灯,0.0,0.8099,True,True,0,99.5,0.806,0.47,0.0,-0.0396,-0.0531,0.17384615384615384,0.16153846153846155,18.84,2693,False,,0.8557,标准,2026-08-07,
002919,东吴智慧医疗量化混合A,混合型-灵活,左侧,21.6,-0.10933081850642282,Sell/Avoid 红灯,0.0,0.764,True,True,0,9.6,0.226,1.054,0.0,0.1318,0.0772,0.2630769230769231,0.24615384615384617,0.73,1847,False,回撤比值1.39(平滑9%)(-9%),0.8557,标准,2026-08-07,
240011,华宝大盘精选混合,混合型-偏股,右侧,21.6,-0.21484981827727714,Sell/Avoid 红灯,0.0,0.8055,True,True,0,47.6,0.71,1.617,0.0,0.2394,0.2768,0.3123076923076923,0.3030769230769231,10.83,1675,False,,0.8557,标准,2026-08-07,
