code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,exit_reason,hold_days,alloc_yuan,net_ret,pnl_yuan
350002,天治低碳经济混合,2010-06-30,2011-05-26,0.773,0.899,81.2,86.1,cppi_cap3,330,12360.67,0.1458,1801.72
519013,海富通风格优势混合,2010-06-30,2010-12-27,0.941,1.041,82.7,,trail_20%,180,13845.36,0.0991,1371.94
519013,海富通风格优势混合,2010-12-31,2011-03-17,1.063,1.053,87.1,66.6,cppi_cap6,76,17435.03,-0.0158,-276.11
519068,汇添富成长焦点混合,2010-12-31,2011-02-28,1.3464,1.3169,85.3,32.7,S<45,59,17418.39,-0.0283,-492.21
162201,宏利成长混合,2011-01-31,2011-08-02,1.097,1.065,89.7,89.2,cppi_cap3,183,15631.13,-0.0351,-549.21
163801,中银中国混合(LOF)A,2011-01-31,2011-03-17,1.5131,1.5518,88.6,80.9,cppi_cap6,45,15808.97,0.0189,299.11
020001,国泰金鹰增长混合,2011-02-28,2011-10-20,1.015,0.808,88.5,,trail_20%,234,17456.02,-0.1954,-3410.78
020009,国泰金鹏蓝筹混合,2011-02-28,2011-05-26,1.069,0.972,84.3,74.5,cppi_cap3,87,16104.59,-0.0966,-1556.35
202007,南方隆元产业主题混合,2011-02-28,2011-05-26,0.809,0.715,83.1,48.3,cppi_cap3,87,16322.18,-0.1219,-1990.15
260104,景顺长城内需增长混合A,2011-02-28,2011-08-02,4.102,3.764,86.0,79.1,cppi_cap3,155,16670.33,-0.0864,-1440.11
580001,东吴嘉禾优势精选混合A,2011-02-28,2011-03-17,0.9022,0.8835,82.2,82.2,cppi_cap6,17,13590.88,-0.0271,-368.08
202007,南方隆元产业主题混合,2011-06-30,2011-08-02,0.76,0.716,87.2,87.2,cppi_cap3,33,15094.67,-0.064,-966.2
519087,新华优选分红混合A,2011-06-30,2012-09-20,0.8278,0.6778,97.2,,trail_20%,448,16138.66,-0.1805,-2913.63
