code,name,start,w2,w1,r4_24,r4_25
023926,鹏华上证科创板200ETF联接A,2025-05-16,,0.17362275681440043,,
022916,博时中证A500ETF联接Y,2024-12-16,,0.18166208182488242,,0.003724505795593691
019164,汇添富有色金属ETF联接A,2023-11-28,0.7558912017647375,0.4258299170563846,0.05376847375563387,0.08072124042214446
022715,贝莱德中证A500指数增强A,2025-01-23,,0.15314457278099503,,
021206,易方达中证A50ETF联接发起式A,2024-04-23,0.35667355009921,0.15075137922714066,,0.010469461293859172
019617,工银远见共赢混合A1,2023-12-04,0.43631354073438966,0.1898325263088927,-0.022534346501678848,-0.005394531075611053
021147,财通华臻量化选股混合A,2024-05-06,0.31311091875085606,0.06888551031021883,,0.05005151252365758
024806,华夏稳健回报混合A,2025-07-22,,0.05769673915389584,,
023903,国投瑞银上证科创板综合价格指数增强A,2025-04-23,,0.34011559383650947,,
018549,金鹰研究驱动混合A,2024-01-16,-0.028012012106541917,-0.14101008583634111,,-0.022935811840634646
021159,天弘沪港深物联网ETF联接A,2024-04-11,0.6828532232212423,0.24877506048320108,,-0.07510468756624011
022444,景顺长城中证A500ETF联接A,2024-11-06,,0.18151959170412546,,0.002369840481647456
020901,招商成长量化选股股票A,2024-05-31,0.6366917775159009,0.16272082353752682,,0.030188300130324697
022921,南方中证500ETF联接(LOF)Y,2024-12-16,,0.21474564621570624,,-0.005903784310132276
022455,招商中证A500ETF发起式联接A,2024-11-05,,0.1936772306401131,,0.002681092900440385
019226,方正富邦金立方一年持有期混合A,2023-09-04,0.958571778409355,0.47175773314625924,-0.027423661777389974,0.00677525851058447
022336,京管泰富创新动力混合发起A,2024-12-24,,0.07136017669055872,,
019785,广发上证科创板成长ETF发起式联接A,2023-11-16,1.4023076455117582,0.5743036852782804,-0.07216909499721147,-0.013895861614831362
019281,华西优选成长一年持有混合A,2023-11-01,1.185329449557309,0.44577530132548016,,-0.11614458960589635
021292,鹏华国证疫苗与生物科技ETF发起式联接A,2024-10-22,,-0.1402859545541949,,0.009495045957525372
020893,景顺长城国证机器人ETF联接A,2024-03-22,0.43878727381282645,-0.005198854182983936,,-0.12613617425159807
020195,汇添富中证红利ETF发起式联接A,2024-01-30,0.14506228689445666,0.04126775850134168,,0.047514720665976284
019918,招商中证2000指数增强A,2024-01-02,0.9132149690513509,0.11247372129946998,,0.09588857028790754
019293,长江长扬混合发起A,2023-09-11,0.8703672039570853,0.5068900115544568,-0.034140369377879676,-0.03783711613609331
020193,天弘金融优选混合发起A,2024-07-09,0.4420727704639489,-0.0025365442905525004,,0.16340979473366346
022334,广发产业甄选混合A,2025-01-17,,0.6315062790725412,,
020630,汇添富中证芯片产业ETF发起式联接A,2024-06-04,1.3186570031802085,0.7334026549849635,,-0.1055208548816372
024407,鑫元中证港股通创新药指数发起式A,2025-07-09,,-0.18541263770886907,,
021722,广发上证50ETF发起式联接A,2024-12-12,,0.07560359138309747,,0.0264851601967524
019493,易方达央企科技50ETF联接A,2024-02-20,0.5672044457587258,0.26863978821140777,,-0.01920449607566288
024359,中欧上证科创板综合指数增强A,2025-07-22,,0.40014900701011213,,
022804,中加中证A500指数增强发起式A,2025-01-24,,0.17018508776715469,,
022911,摩根中证A500ETF联接Y,2024-12-13,,0.16918110368711092,,0.002637353330376735
019876,广发均衡成长混合A,2024-04-23,0.5368994586631917,0.07493228615886283,,0.11004119870591067
019824,国寿安保新材料股票发起式A,2023-11-06,1.0123741041653305,0.29461357340740424,-0.0001429161912497312,-0.009881942832966617
020190,农银上证180指数A,2025-02-26,,0.09219332044482931,,
019219,中信保诚先进制造混合A,2023-10-09,0.9407853377775013,0.36982788981155923,-0.06372074179116216,0.03943111679928246
022440,万家中证A500ETF发起式联接A,2024-11-12,,0.18649915752974122,,0.0011204598309741964
021298,中欧北证50成份指数发起A,2024-05-10,0.674657108521542,-0.22201735572892523,,0.018651472367158473
018442,汇添富成长领航混合A,2023-08-22,1.3540077956645713,0.7065036804735538,-0.008756693165000828,-0.09639818996388183
020273,富国中证细分化工产业主题ETF发起式联接A,2023-12-26,0.45771477719083453,0.26564315464149657,,-0.023263477139059296
