date,equity,n_pos,drawdown
2019-09-26,105131.76732628353,10,-0.05438561203697634
2019-09-27,105720.33172164297,10,-0.04909173203620221
2019-09-30,104887.59784451364,10,-0.05658181001723572
2019-10-08,104929.19030077348,10,-0.056207704016069004
2019-10-09,105242.87970890765,10,-0.0533862046231911
2019-10-10,107183.2374826953,10,-0.03593353284421319
2019-10-11,107597.78551594465,10,-0.032204854113589865
2019-10-14,108623.30730743406,10,-0.022980732938186033
2019-10-15,107848.65442293389,10,-0.029948397725813813
2019-10-16,107985.36814040504,10,-0.02871871747254251
2019-10-17,108048.64618602236,10,-0.028149559054495454
2019-10-18,107291.67831483696,10,-0.034958154861670754
2019-10-21,106718.69924619418,10,-0.04011185164704578
2019-10-22,107944.66954255034,10,-0.029084783607261744
2019-10-23,106752.02191523413,10,-0.03981212877458884
2019-10-24,106612.6450330227,10,-0.041065763033009794
2019-10-25,107739.0050402541,10,-0.030934646093269458
2019-10-28,109249.35010002523,10,-0.01734975110262471
2019-10-29,108690.28595887317,10,-0.02237828918499951
2019-10-30,108256.32720952107,10,-0.026281558839890806
2019-10-31,108026.05406208224,10,-0.02835276535451059
2019-11-01,109352.4007266068,10,-0.01642285566785373
2019-11-04,110449.65218104201,10,-0.006553557463181647
2019-11-05,111068.56011682577,10,-0.0009867505523336595
2019-11-06,110291.61513319853,10,-0.007975031771781382
2019-11-07,111039.49656018858,10,-0.0012481645665793906
2019-11-08,110760.23438305991,10,-0.0037600060339368913
2019-11-11,108823.75012497204,10,-0.02117783722884725
2019-11-12,108760.89928274484,10,-0.021743153138748972
2019-11-13,109619.87935533549,10,-0.014017002078296148
2019-11-14,110521.59166504994,10,-0.005906493184984818
2019-11-15,110006.88152347808,10,-0.010536086388628796
2019-11-18,110619.15593556719,10,-0.005028945129829432
2019-11-19,112175.53136484328,10,0.0
2019-11-20,111854.05249271521,10,-0.0028658555766718496
2019-11-21,111280.20015400542,10,-0.007981519676745319
2019-11-22,109017.6675076439,10,-0.028151093369271796
2019-11-25,108190.85821944103,10,-0.035521767509550495
2019-11-26,108618.98076177272,10,-0.0317052262627856
2019-11-27,108534.19450186274,10,-0.03246106186149755
2019-11-28,108601.14235790975,10,-0.031864248499149705
2019-11-29,107555.37604170313,10,-0.04118683697707126
2019-12-02,107813.37339788837,10,-0.03888689372700438
2019-12-03,108050.29616809604,10,-0.03677482198261395
2019-12-04,108439.75380978579,10,-0.03330296286190193
2019-12-05,109603.96598217123,10,-0.02292447694594113
2019-12-06,110383.46885030683,10,-0.015975520621407946
2019-12-09,110128.84802932476,10,-0.018245363410509086
2019-12-10,111103.11853670827,10,-0.00956013147508139
2019-12-11,110765.62202848984,10,-0.012568777871600156
2019-12-12,111016.22364602512,10,-0.010334764673835983
2019-12-13,113032.17993660027,10,0.0
2019-12-16,114211.07989156319,10,0.0
2019-12-17,114913.31467756839,10,0.0
2019-12-18,114487.77258776421,10,-0.0037031573843134824
2019-12-19,114228.15518838554,10,-0.0059624029739748785
2019-12-20,113316.07248504455,10,-0.01389953981403702
2019-12-23,111581.19032130725,10,-0.028996851806169177
2019-12-24,112573.04443043006,10,-0.0203655272994675
2019-12-25,111107.36399087787,10,-0.033120188877759804
2019-12-26,111579.87278401945,10,-0.029008317294668018
2019-12-27,110831.69030686661,10,-0.03551915965660091
2019-12-30,111918.52291732871,10,-0.02606131211724827
2019-12-31,112519.90570738705,10,-0.020827951720798654
2020-01-02,113722.50994619456,10,-0.010362634954139693
2020-01-03,113701.96694155256,10,-0.010541404531012932
2020-01-06,113742.5455056417,10,-0.010188281272816013
2020-01-07,115225.46768872677,10,0.0
2020-01-08,113816.50981647013,10,-0.01222783383325321
2020-01-09,116474.58899580606,10,0.0
2020-01-10,116680.7076254984,10,0.0
2020-01-13,118417.15377146436,10,0.0
2020-01-14,117440.46858738427,10,-0.008247835325995267
2020-01-15,117961.40802577481,10,-0.003848646341974238
2020-01-16,118362.90928309449,10,-0.00045807965013722196
2020-01-17,118713.41937563935,10,0.0
2020-01-20,120277.33297958317,10,0.0
2020-01-21,119190.62636738148,10,-0.009035007555298513
2020-01-22,120325.58357177148,10,0.0
2020-01-23,116822.7534494483,10,-0.029111266435153604
2020-02-03,109539.34860262004,10,-0.08964207485200104
2020-02-04,113033.46932375271,10,-0.06060319037363482
2020-02-05,114993.44134974439,10,-0.04431428515654434
2020-02-06,118698.47458370596,10,-0.013522552226767237
2020-02-07,119533.15413658049,10,-0.006585710300904712
2020-02-10,119719.94000738565,10,-0.005033373173083944
2020-02-11,120022.56249654382,10,-0.002518342868014556
2020-02-12,122384.74337369911,10,0.0
2020-02-13,121521.33021294978,10,-0.0070549084546667196
2020-02-14,121751.3313982182,10,-0.005175579553627796
2020-02-17,125301.713862654,10,0.0
2020-02-18,126434.59315239925,10,0.0
2020-02-19,125178.30868211528,10,-0.009936240066590663
2020-02-20,127774.76719091246,10,0.0
2020-02-21,129450.83980468057,10,0.0
2020-02-24,130806.0050899863,10,0.0
2020-02-25,131125.90332466402,10,0.0
2020-02-26,127113.15947100973,10,-0.03060222085729969
2020-02-27,128377.48707433975,10,-0.020960132061163095
