code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
519935,长信创新驱动股票A,股票型,右侧,22.5,Sell/Avoid 红灯,0.0,0.7631,False,False,0,48.1,0.677,1.171,84.6,0.6064,0.6852,0.6630769230769231,0.6323076923076923,1.01,787,False,经理任期2年(归因平滑8%)(-8%); 回撤比值1.91(平滑35%)(-35%),0.839,标准,2026-07-31,
020226,国泰中证全指集成电路ETF发起联接A,指数型-股票,新星,22.5,Sell/Avoid 红灯,0.0,0.7679,False,False,0,46.4,0.68,1.358,66.3,0.5436,0.6659,0.5815384615384616,0.6076923076923076,0.63,1153,True,回撤比值1.83(平滑31%)(-31%),0.839,标准,2026-07-31,
016237,华夏数字经济龙头混合发起式A,混合型-偏股,右侧,22.4,Sell/Avoid 红灯,0.0,0.765,False,False,0,40.1,0.548,1.036,50.3,0.3963,0.8062,0.39384615384615385,0.7615384615384615,23.4,1648,False,回撤比值1.52(平滑16%)(-16%),0.839,标准,2026-07-31,
481015,工银主题策略混合A,混合型-偏股,右侧,22.4,Sell/Avoid 红灯,0.0,0.7725,False,False,0,4.2,0.387,1.579,100.0,0.9129,1.1207,0.9492307692307692,0.9646153846153847,38.02,3596,False,回撤比值1.51(平滑15%)(-15%),0.839,标准,2026-07-31,
019888,中欧周期优选混合发起A,混合型-偏股,新星,22.3,Sell/Avoid 红灯,0.0,0.7392,True,True,0,85.2,0.583,0.581,0.0,-0.1599,-0.0356,0.05846153846153846,0.16615384615384615,23.18,993,False,经理任期2年(归因平滑3%)(-3%); 回撤比值1.66(平滑23%)(-23%),0.839,标准,2026-07-31,
519087,新华优选分红混合A,混合型-灵活,右侧,22.3,Sell/Avoid 红灯,0.0,0.7674,False,False,0,35.0,0.581,1.528,59.4,0.4562,0.7649,0.4723076923076923,0.7169230769230769,17.89,3783,False,回撤比值1.56(平滑18%)(-18%),0.839,标准,2026-07-31,
004148,圆信永丰多策略,混合型-偏股,右侧,22.2,Sell/Avoid 红灯,0.0,0.7677,False,False,0,47.0,0.645,1.134,22.9,0.4265,0.55,0.43538461538461537,0.48,5.95,3055,False,,0.839,标准,2026-07-31,
165528,中信保诚鼎利混合(LOF)A,混合型-灵活,右侧,22.1,Sell/Avoid 红灯,0.0,0.7658,False,False,0,33.8,0.419,0.939,80.3,0.6181,0.6195,0.6861538461538461,0.563076923076923,0.91,129,False,经理任期0年(归因平滑26%)(-26%); 回撤比值1.31(平滑6%)(-6%),0.839,标准,2026-07-31,
213003,宝盈策略增长混合,混合型-偏股,右侧,22.1,Sell/Avoid 红灯,0.0,0.7618,False,False,0,49.2,0.774,1.995,26.9,0.4597,0.5118,0.4753846153846154,0.4523076923076923,22.39,1443,False,回撤比值1.36(平滑8%)(-8%),0.839,标准,2026-07-31,
021988,银河中证通信设备主题指数发起式A,指数型-股票,新星,22.1,Sell/Avoid 红灯,0.0,0.7596,False,False,0,89.3,1.0,0.859,8.8,0.4073,0.4643,0.40923076923076923,0.40615384615384614,1.06,4306,True,回撤比值1.88(平滑34%)(-34%),0.839,标准,2026-07-31,
020775,国寿安保产业升级股票发起式A,股票型,新星,22.1,Sell/Avoid 红灯,0.0,0.767,False,False,0,11.4,0.35,1.056,90.3,0.4812,0.9872,0.5107692307692308,0.9061538461538462,0.6,907,False,经理任期2年(归因平滑5%)(-5%); 回撤比值1.45(平滑12%)(-12%),0.839,标准,2026-07-31,
018776,金信精选成长混合A,混合型-偏股,新星,22.0,Sell/Avoid 红灯,0.0,0.7739,False,False,0,30.3,0.556,1.531,100.0,0.7913,0.8634,0.8707692307692307,0.8138461538461539,0.67,4685,False,回撤比值1.96(平滑38%)(-38%),0.839,标准,2026-07-31,
