date,equity,n_pos,cash,cash_ratio,crisis,cppi_hwm,cppi_locked,drawdown
2022-12-08,154928.80157830953,3,107445.51686530608,0.6935154456158187,False,191543.67864818504,False,-0.19115680208443386
2022-12-09,155244.32740380627,3,107452.87111012917,0.6921532844844845,False,191543.67864818504,False,-0.18950952336595284
2022-12-12,154999.68511934252,3,107474.93535471031,0.6933880883174673,False,191543.67864818504,False,-0.19078673745200514
2022-12-13,154811.0350981868,3,107482.29161311926,0.6942805565827401,False,191543.67864818504,False,-0.19177163041473355
2022-12-14,154889.44173569285,3,107489.64837503666,0.6939766014423349,False,191543.67864818504,False,-0.1913622896416034
2022-12-15,154855.30450213823,3,107497.00564049697,0.6941770963939609,False,191543.67864818504,False,-0.19154051130778182
2022-12-16,154737.48248354328,3,107504.36340953465,0.6947532148260717,False,191543.67864818504,False,-0.19215562959007892
2022-12-19,152881.50703252805,3,107526.43822748322,0.7033318830681411,False,191543.67864818504,False,-0.20184519733835304
2022-12-20,152540.2997104791,3,107533.79801107169,0.7049533678324379,False,191543.67864818504,False,-0.20362655250735162
2022-12-21,152470.85954514152,3,107541.1582984099,0.7053226998210144,False,191543.67864818504,False,-0.20398908164862983
2022-12-22,152328.32487394655,3,107548.5190895323,0.7060309970488413,False,191543.67864818504,False,-0.20473321829777902
2022-12-23,152300.38605264423,3,107555.8803844734,0.7062088493150345,False,191543.67864818504,False,-0.2048790796569191
2022-12-26,152563.3397193674,3,107577.96578085626,0.7051364107441573,False,191543.67864818504,False,-0.20350626658065918
2022-12-27,152837.97960700572,3,107585.32909131354,0.703917503803368,False,191543.67864818504,False,-0.20207244276785263
2022-12-28,152702.0301286088,3,107592.69290576196,0.7045924197284421,False,191543.67864818504,False,-0.20278219982878187
2022-12-29,152651.50019723232,3,107600.05722423599,0.7048738930518997,False,191543.67864818504,False,-0.20304600353002167
2022-12-30,152798.24661013242,3,107607.42204677017,0.7042451365383302,False,191543.67864818504,False,-0.2022798784668729
2023-01-03,153362.94864839152,3,107636.88335328536,0.7018441175127619,False,191543.67864818504,False,-0.19933171519547455
2023-01-04,153433.16451089326,3,107644.2506964307,0.7015709481035197,False,191543.67864818504,False,-0.1989651363399504
2023-01-05,153620.1272121999,3,107651.61854384319,0.7007650657334823,False,191543.67864818504,False,-0.19798905243769827
2023-01-06,153579.01037454634,3,107658.98689555735,0.7010006551871907,False,191543.67864818504,False,-0.19820371281147697
2023-01-09,153998.48357900727,3,107681.09346370838,0.699234764921979,False,191543.67864818504,False,-0.19601375171528546
2023-01-10,153980.80032221152,3,107688.46383287085,0.699362931011711,False,191543.67864818504,False,-0.1961060714249232
2023-01-11,153895.5352030555,3,107695.8347065076,0.6997983051581691,False,191543.67864818504,False,-0.19655121855667812
2023-01-12,153967.26843290677,3,107703.20608465314,0.6995201459431373,False,191543.67864818504,False,-0.1961767179187165
2023-01-13,154129.2168283352,3,107710.57796734203,0.6988329674529331,False,191543.67864818504,False,-0.19533122723705387
2023-01-16,154412.98039526367,3,107732.6951291423,0.6976919612157606,False,191543.67864818504,False,-0.19384977105467738
2023-01-17,154366.11852991278,3,107740.06903024628,0.6979515327346175,False,191543.67864818504,False,-0.194094424732009
2023-01-18,154542.43574008992,3,107747.44343606629,0.6972029586571055,False,191543.67864818504,False,-0.19317391818529606
2023-01-19,154859.22818201722,3,107754.81834663686,0.6958243277564632,False,191543.67864818504,False,-0.19152002679006408
2023-01-20,155210.18698611832,3,107762.19376199256,0.694298459750136,False,191543.67864818504,False,-0.1896877616556677
2023-01-30,155284.3692593761,3,107835.95296374615,0.6944417746490926,False,191543.67864818504,False,-0.1893004751955697
2023-01-31,155218.6552184521,3,107843.33393246372,0.6947833285933759,False,191543.67864818504,False,-0.18964355120511378
2023-02-01,155667.35732004535,3,107850.71540638107,0.6928280743190409,False,191543.67864818504,False,-0.18730099359757513
2023-02-02,155687.0222103292,3,107858.09738553278,0.6927879784341898,False,191543.67864818504,False,-0.18719832829208127
2023-02-03,155604.38100835757,3,107865.47986995341,0.6932033607984336,False,191543.67864818504,False,-0.18762977663093983
