date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2025-06-30,519698,0.0,0.7005,0.4,0.35,0.25,0.7132,0.949,True,0.05259,0.0,1.744,-0.0738,-0.0762,1.362,1.0,0.0,0.0,0.0,0.5422,1.5372
2025-06-30,000209,0.0,0.7005,0.4,0.35,0.25,0.7135,0.975,True,0.05935,0.032,1.689,-0.0856,-0.1196,1.786,1.0,0.0,0.0,0.0,0.2888,0.5941
2025-06-30,270028,0.0,0.7005,0.4,0.35,0.25,0.7149,0.952,True,0.05993,0.129,1.37,-0.0786,-0.0762,1.591,1.0,0.0,0.0,0.0,0.5098,0.9764
2025-06-30,000884,0.0,0.7005,0.4,0.35,0.25,0.7136,0.97,False,-0.00708,0.129,1.26,-0.0802,-0.0957,1.566,1.0,0.0,0.0,0.0,0.1208,0.1119
2025-06-30,540010,0.0,0.7005,0.4,0.35,0.25,0.7137,0.95,True,0.06946,0.323,1.697,-0.0773,-0.0827,1.53,1.0,0.0,0.0,0.0,0.7312,1.8572
2025-06-30,110025,0.0,0.7005,0.4,0.35,0.25,0.7122,1.0,True,0.02127,0.323,1.549,-0.0074,-0.0181,0.656,1.0,0.0,0.0,0.0,0.5802,0.6676
2025-06-30,000531,0.0,0.7005,0.4,0.35,0.25,0.7201,0.959,True,0.0865,0.129,1.242,-0.1799,-0.1534,1.665,1.0,0.0,0.0,0.0,0.8716,1.8515
2025-06-30,290004,0.0,0.7005,0.4,0.35,0.25,0.7113,0.962,False,-0.01541,0.129,2.043,-0.0815,-0.0238,1.521,1.0,0.0,0.0,0.0,0.1731,-0.1626
2025-06-30,040007,0.0,0.7005,0.4,0.35,0.25,0.7146,0.957,True,0.0422,0.484,1.946,-0.0893,-0.1011,1.052,1.0,0.0,0.0,0.0,0.1046,0.0098
2025-06-30,460007,0.0,0.7005,0.4,0.35,0.25,0.7109,0.952,True,0.04625,0.194,1.873,-0.0323,-0.0787,1.484,1.0,0.0,0.0,0.0,0.7478,2.1103
2025-06-30,257070,0.0,0.7005,0.4,0.35,0.25,0.7196,0.938,True,0.07717,0.226,1.679,-0.2107,-0.2065,1.625,1.0,0.0,0.0,0.0,0.8697,2.3575
2025-06-30,530019,0.0,0.7005,0.4,0.35,0.25,0.7151,0.963,True,0.04618,0.29,1.199,-0.0698,-0.0676,1.396,1.0,0.0,0.0,0.0,0.522,1.7067
2025-06-30,320007,0.0,0.7005,0.4,0.35,0.25,0.71,0.925,True,0.04145,0.355,1.762,-0.0073,-0.0657,1.375,1.0,0.0,0.0,0.0,0.3215,0.9811
2025-06-30,240017,0.0,0.7005,0.4,0.35,0.25,0.7156,0.955,True,0.04848,0.323,1.515,-0.1167,-0.1175,1.058,1.0,0.0,0.0,0.0,0.7004,1.284
2025-06-30,202027,0.0,0.7005,0.4,0.35,0.25,0.7137,0.947,True,0.03753,0.194,1.367,-0.0414,-0.0663,1.645,1.0,0.0,0.0,0.0,0.6234,1.5566
2025-06-30,519087,0.0,0.7005,0.4,0.35,0.25,0.712,0.976,True,0.06249,0.323,1.631,-0.0531,0.0147,1.618,1.0,0.0,0.0,0.0,0.4457,1.5729
2025-06-30,000828,0.0,0.7005,0.4,0.35,0.25,0.7165,0.965,True,0.05796,0.29,1.371,-0.1254,-0.0534,1.615,1.0,0.0,0.0,0.0,0.7088,1.4464
2025-06-30,740001,0.0,0.7005,0.4,0.35,0.25,0.7177,0.945,True,0.04631,0.226,1.534,-0.1588,-0.2186,1.35,1.0,0.0,0.0,0.0,1.2015,3.1454
2025-06-30,050010,0.0,0.7005,0.4,0.35,0.25,0.7165,0.959,True,0.05674,0.355,1.55,-0.1193,0.0014,1.436,1.0,0.0,0.0,0.0,0.7132,1.5527
2025-06-30,481015,0.0,0.7005,0.4,0.35,0.25,0.7144,0.934,True,0.04077,0.29,1.782,-0.072,-0.1086,1.547,1.0,0.0,0.0,0.0,0.5813,2.5405
2025-06-30,110013,0.0,0.7005,0.4,0.35,0.25,0.7101,0.978,True,0.04293,0.323,1.494,-0.008,-0.0176,1.049,1.0,0.0,0.0,0.0,0.6121,1.116
2025-06-30,160628,0.0,0.7005,0.4,0.35,0.25,0.7015,0.94,True,0.01425,0.097,1.165,-0.0429,-0.1661,1.602,1.0,0.0,0.0,0.0,0.0453,-0.2432
2025-06-30,377240,0.0,0.7005,0.4,0.35,0.25,0.7156,0.978,True,0.04403,0.29,1.413,0.0001,-0.0082,1.375,1.0,0.0,0.0,0.0,0.7187,1.2243
2025-06-30,163818,0.0,0.7005,0.4,0.35,0.25,0.7122,0.957,True,0.03754,0.065,1.505,-0.0197,-0.0732,1.246,1.0,0.0,0.0,0.0,0.2824,0.5056
2025-06-30,519120,0.0,0.7005,0.4,0.35,0.25,0.7066,0.977,True,0.00957,0.452,1.298,-0.0088,0.0043,0.995,1.0,0.0,0.0,0.0,0.2619,0.2894
2025-06-30,580006,0.0,0.7005,0.4,0.35,0.25,0.7209,0.958,True,0.08533,0.161,1.795,-0.1515,-0.1239,2.087,1.0,0.0,0.0,0.0,0.8531,1.8167
2025-06-30,240010,0.0,0.7005,0.4,0.35,0.25,0.717,0.956,True,0.0361,0.29,1.867,-0.1004,-0.1293,1.391,1.0,0.0,0.0,0.0,0.4249,0.2143
2025-06-30,240008,0.0,0.7005,0.4,0.35,0.25,0.7056,0.988,True,0.01363,0.258,1.649,0.0011,-0.0551,1.179,1.0,0.0,0.0,0.0,0.2095,0.1514
