code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
159813,159813,159813,鹏华国证半导体芯片ETF,指数型-股票,存续,2020-04-17,,,2020-04-17,tushare_fund_basic,159813.SZ,2024-03-31
159814,159814,159814,西部利得创业板大盘ETF,指数型-股票,存续,2020-06-19,,,2020-06-19,tushare_fund_basic,159814.SZ,2024-03-31
159819,159819,159819,易方达中证人工智能主题ETF,指数型-股票,存续,2020-07-27,,,2020-07-27,tushare_fund_basic,159819.SZ,2024-03-31
159820,159820,159820,天弘中证500ETF,指数型-股票,存续,2020-08-07,,,2020-08-07,tushare_fund_basic,159820.SZ,2024-03-31
159821,159821,159821,中银证券创业板ETF,指数型-股票,存续,2020-09-29,,,2020-09-29,tushare_fund_basic,159821.SZ,2024-03-31
159822,159822,159822,银华工银南方东英标普中国新经济行业ETF(QDII),指数型-海外股票,存续,2020-09-29,,,2020-09-29,tushare_fund_basic,159822.SZ,2024-03-31
159823,159823,159823,嘉实恒生中国企业ETF(QDII),指数型-海外股票,清盘,2020-09-24,2024-08-19,2024-08-19,2020-09-24,tushare_fund_basic,159823.SZ,2024-03-31
159824,159824,159824,博时中证新能源汽车ETF,指数型-股票,存续,2020-12-10,,,2020-12-10,tushare_fund_basic,159824.SZ,2024-03-31
159825,159825,159825,富国中证农业主题ETF,指数型-股票,存续,2020-12-10,,,2020-12-10,tushare_fund_basic,159825.SZ,2024-03-31
159827,159827,159827,银华中证农业主题ETF,指数型-股票,存续,2020-12-10,,,2020-12-10,tushare_fund_basic,159827.SZ,2024-03-31
159828,159828,159828,国泰中证医疗ETF,指数型-股票,存续,2020-12-24,,,2020-12-24,tushare_fund_basic,159828.SZ,2024-03-31
159835,159835,159835,建信中证创新药产业ETF,指数型-股票,存续,2021-03-11,,,2021-03-11,tushare_fund_basic,159835.SZ,2024-03-31
159836,159836,159836,天弘创业板300ETF,指数型-股票,存续,2021-05-11,,,2021-05-11,tushare_fund_basic,159836.SZ,2024-03-31
159837,159837,159837,易方达中证生物科技主题ETF,指数型-股票,存续,2021-01-14,,,2021-01-14,tushare_fund_basic,159837.SZ,2024-03-31
159838,159838,159838,博时中证医药50ETF,指数型-股票,存续,2021-07-22,,,2021-07-22,tushare_fund_basic,159838.SZ,2024-03-31
159839,159839,159839,汇添富国证生物医药ETF,指数型-股票,存续,2021-02-01,,,2021-02-01,tushare_fund_basic,159839.SZ,2024-03-31
159840,159840,159840,工银瑞信国证新能源车电池ETF,指数型-股票,存续,2021-08-05,,,2021-08-05,tushare_fund_basic,159840.SZ,2024-03-31
159841,159841,159841,天弘中证全指证券公司ETF,指数型-股票,存续,2021-01-28,,,2021-01-28,tushare_fund_basic,159841.SZ,2024-03-31
159842,159842,159842,银华中证全指证券公司ETF,指数型-股票,存续,2021-03-03,,,2021-03-03,tushare_fund_basic,159842.SZ,2024-03-31
159843,159843,159843,招商国证食品饮料行业ETF,指数型-股票,存续,2021-01-25,,,2021-01-25,tushare_fund_basic,159843.SZ,2024-03-31
159845,159845,159845,华夏中证1000ETF,指数型-股票,存续,2021-03-18,,,2021-03-18,tushare_fund_basic,159845.SZ,2024-03-31
159847,159847,159847,易方达中证医疗ETF,指数型-股票,存续,2021-07-08,,,2021-07-08,tushare_fund_basic,159847.SZ,2024-03-31
159848,159848,159848,国联安中证全指证券公司ETF,指数型-股票,存续,2021-02-09,,,2021-02-09,tushare_fund_basic,159848.SZ,2024-03-31
159849,159849,159849,招商中证生物科技主题ETF,指数型-股票,存续,2021-02-08,,,2021-02-08,tushare_fund_basic,159849.SZ,2024-03-31
159850,159850,159850,华夏恒生中国企业ETF(QDII),指数型-海外股票,存续,2021-02-01,,,2021-02-01,tushare_fund_basic,159850.SZ,2024-03-31
159851,159851,159851,华宝中证金融科技主题ETF,指数型-股票,存续,2021-03-04,,,2021-03-04,tushare_fund_basic,159851.SZ,2024-03-31
159852,159852,159852,嘉实中证软件服务ETF,指数型-股票,存续,2021-01-29,,,2021-01-29,tushare_fund_basic,159852.SZ,2024-03-31
159855,159855,159855,银华中证影视主题ETF,指数型-股票,存续,2021-02-09,,,2021-02-09,tushare_fund_basic,159855.SZ,2024-03-31
159856,159856,159856,工银瑞信中证沪港深互联网ETF,指数型-股票,存续,2021-01-22,,,2021-01-22,tushare_fund_basic,159856.SZ,2024-03-31
159857,159857,159857,天弘中证光伏产业ETF,指数型-股票,存续,2021-02-04,,,2021-02-04,tushare_fund_basic,159857.SZ,2024-03-31
159858,159858,159858,南方中证创新药产业ETF,指数型-股票,存续,2021-03-12,,,2021-03-12,tushare_fund_basic,159858.SZ,2024-03-31
159859,159859,159859,天弘国证生物医药ETF,指数型-股票,存续,2021-06-24,,,2021-06-24,tushare_fund_basic,159859.SZ,2024-03-31
159861,159861,159861,国泰中证环保产业50ETF,指数型-股票,存续,2021-03-19,,,2021-03-19,tushare_fund_basic,159861.SZ,2024-03-31
159862,159862,159862,银华中证细分食品饮料产业主题ETF,指数型-股票,存续,2021-10-26,,,2021-10-26,tushare_fund_basic,159862.SZ,2024-03-31
159863,159863,159863,鹏华中证光伏产业ETF,指数型-股票,存续,2021-02-22,,,2021-02-22,tushare_fund_basic,159863.SZ,2024-03-31
159864,159864,159864,国泰中证光伏产业ETF,指数型-股票,存续,2021-07-28,,,2021-07-28,tushare_fund_basic,159864.SZ,2024-03-31
159865,159865,159865,国泰中证畜牧养殖ETF,指数型-股票,存续,2021-03-01,,,2021-03-01,tushare_fund_basic,159865.SZ,2024-03-31
159866,159866,159866,工银瑞信大和日经225ETF(QDII),指数型-海外股票,存续,2021-03-24,,,2021-03-24,tushare_fund_basic,159866.SZ,2024-03-31
159867,159867,159867,鹏华中证畜牧养殖ETF,指数型-股票,存续,2021-02-25,,,2021-02-25,tushare_fund_basic,159867.SZ,2024-03-31
159869,159869,159869,华夏中证动漫游戏ETF,指数型-股票,存续,2021-02-25,,,2021-02-25,tushare_fund_basic,159869.SZ,2024-03-31
159870,159870,159870,鹏华中证细分化工产业主题ETF,指数型-股票,存续,2021-02-23,,,2021-02-23,tushare_fund_basic,159870.SZ,2024-03-31
159871,159871,159871,银华中证有色金属ETF,指数型-股票,存续,2021-03-10,,,2021-03-10,tushare_fund_basic,159871.SZ,2024-03-31
159872,159872,159872,鹏华中证车联网主题ETF,指数型-股票,存续,2021-06-16,,,2021-06-16,tushare_fund_basic,159872.SZ,2024-03-31
159873,159873,159873,天弘中证全指医疗保健设备与服务ETF,指数型-股票,存续,2021-03-16,,,2021-03-16,tushare_fund_basic,159873.SZ,2024-03-31
159875,159875,159875,嘉实中证新能源ETF,指数型-股票,存续,2021-08-09,,,2021-08-09,tushare_fund_basic,159875.SZ,2024-03-31
159876,159876,159876,华宝中证有色金属ETF,指数型-股票,存续,2021-03-12,,,2021-03-12,tushare_fund_basic,159876.SZ,2024-03-31
159877,159877,159877,南方中证全指医疗保健设备与服务ETF,指数型-股票,存续,2021-10-22,,,2021-10-22,tushare_fund_basic,159877.SZ,2024-03-31
159880,159880,159880,鹏华国证有色金属行业ETF,指数型-股票,存续,2021-03-08,,,2021-03-08,tushare_fund_basic,159880.SZ,2024-03-31
159881,159881,159881,国泰中证有色金属ETF,指数型-股票,存续,2021-06-17,,,2021-06-17,tushare_fund_basic,159881.SZ,2024-03-31
159883,159883,159883,永赢中证全指医疗器械ETF,指数型-股票,存续,2021-04-22,,,2021-04-22,tushare_fund_basic,159883.SZ,2024-03-31
159885,159885,159885,鹏华中证内地低碳经济主题ETF,指数型-股票,存续,2021-04-06,,,2021-04-06,tushare_fund_basic,159885.SZ,2024-03-31
159886,159886,159886,富国中证细分机械设备产业主题ETF,指数型-股票,存续,2021-04-15,,,2021-04-15,tushare_fund_basic,159886.SZ,2024-03-31
