code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
460007,0.5445,0.4,0.35,0.25,0.5062,0.954,False,0.387,1.49,0.0674,0.1177,1.081,1.0
110029,0.5445,0.4,0.35,0.25,0.4966,0.946,False,0.355,1.327,0.061,0.1084,1.215,1.0
310388,0.5445,0.4,0.35,0.25,0.5064,0.943,False,0.355,1.431,0.0321,0.0249,1.116,1.0
377530,0.5445,0.4,0.35,0.25,0.4956,0.961,False,0.29,1.291,0.0549,0.0643,1.105,1.0
240010,0.5445,0.4,0.35,0.25,0.5049,0.948,False,0.323,1.27,0.065,0.0971,0.934,1.0
110002,0.5445,0.4,0.35,0.25,0.4973,0.957,False,0.065,1.242,0.03,-0.0037,0.923,1.0
161601,0.5445,0.4,0.35,0.25,0.5059,0.936,False,0.161,1.185,0.0352,-0.0439,0.966,1.0
112002,0.5445,0.4,0.35,0.25,0.4979,0.959,False,0.097,1.226,0.0392,0.0085,0.894,1.0
290004,0.5445,0.4,0.35,0.25,0.5022,0.956,False,0.323,1.514,0.0519,0.0302,1.107,1.0
620002,0.5445,0.4,0.35,0.25,0.5163,0.937,False,0.129,1.164,0.0396,-0.0079,1.095,1.0
240011,0.5445,0.4,0.35,0.25,0.4985,0.958,False,0.194,1.424,0.0414,0.0534,1.063,1.0
050013,0.5445,0.4,0.35,0.25,0.541,0.911,False,0.29,1.312,0.0948,0.104,0.925,1.0
519013,0.5445,0.4,0.35,0.25,0.5053,0.955,False,0.226,1.325,0.0225,0.0139,0.949,1.0
580002,0.5445,0.4,0.35,0.25,0.4944,0.96,False,0.129,1.297,0.0276,0.0743,1.248,1.0
310368,0.5445,0.4,0.35,0.25,0.5173,0.936,False,0.258,1.254,0.0816,0.0728,1.111,1.0
260117,0.5445,0.4,0.35,0.25,0.5,0.954,True,0.258,1.424,0.0289,0.053,1.25,1.0
350002,0.5445,0.4,0.35,0.25,0.5088,0.958,False,0.0,1.31,-0.0092,-0.0952,1.224,1.0
233008,0.5445,0.4,0.35,0.25,0.504,0.954,False,0.226,1.317,-0.0106,-0.1384,1.267,1.0
162214,0.5445,0.4,0.35,0.25,0.5003,0.961,False,0.097,1.407,0.0202,0.0557,1.332,1.0
375010,0.5445,0.4,0.35,0.25,0.4935,0.972,False,0.323,1.49,0.1135,0.0898,1.124,0.6
379010,0.5445,0.4,0.35,0.25,0.4932,0.966,False,0.452,1.526,0.0372,0.1114,1.176,0.6
257070,0.5445,0.4,0.35,0.25,0.4871,0.965,False,0.419,1.421,0.0678,0.0978,1.288,0.6
