code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
110025,0.8708,0.4,0.35,0.25,0.7973,0.941,True,0.645,1.509,-0.1015,0.1977,0.803,1.0
310398,0.8708,0.4,0.35,0.25,0.659,0.996,False,0.387,1.28,-0.0294,-0.0365,0.599,1.0
260104,0.8708,0.4,0.35,0.25,0.5986,0.987,False,0.065,1.829,-0.0589,-0.1194,1.395,1.0
210007,0.8708,0.4,0.35,0.25,0.7863,0.956,True,0.258,0.849,-0.0036,0.0176,0.207,1.0
000878,0.8708,0.4,0.35,0.25,0.5786,0.983,True,0.226,1.333,-0.1436,-0.1471,1.515,1.0
260117,0.8708,0.4,0.35,0.25,0.7615,0.941,False,0.613,1.304,-0.0569,0.1053,0.915,1.0
163818,0.8708,0.4,0.35,0.25,0.8651,0.961,True,0.226,1.459,0.0229,0.4012,1.445,1.0
700001,0.8708,0.4,0.35,0.25,0.6968,0.974,False,0.387,1.3,-0.0619,0.0117,1.016,1.0
377150,0.8708,0.4,0.35,0.25,0.6132,0.973,False,0.226,1.417,-0.1052,-0.1274,1.442,1.0
270041,0.8708,0.4,0.35,0.25,0.6843,0.988,False,0.097,1.155,-0.1247,-0.0934,1.083,1.0
519120,0.8708,0.4,0.35,0.25,0.7851,0.972,True,0.548,1.315,0.0236,0.0914,0.565,1.0
206002,0.8708,0.4,0.35,0.25,0.7748,0.985,False,0.484,1.471,0.0328,0.1165,1.006,1.0
290012,0.8708,0.4,0.35,0.25,0.7745,0.975,True,0.258,0.861,-0.2184,-0.1459,1.327,1.0
470006,0.8708,0.4,0.35,0.25,0.6541,0.99,True,0.29,1.376,-0.0692,-0.0744,1.376,1.0
233008,0.8708,0.4,0.35,0.25,0.6129,0.985,True,0.032,1.836,-0.0381,-0.0532,1.539,1.0
000311,0.8708,0.4,0.35,0.25,0.8038,0.954,True,0.29,1.049,0.0507,0.1064,0.714,1.0
000124,0.8708,0.4,0.35,0.25,0.6919,0.973,False,0.226,1.428,-0.1583,-0.1414,1.061,1.0
240004,0.8708,0.4,0.35,0.25,0.6841,0.985,False,0.484,1.86,-0.1485,-0.0979,1.835,1.0
161118,0.8708,0.4,0.35,0.25,0.8317,0.954,True,0.226,1.598,0.0622,0.1611,1.16,1.0
000684,0.8708,0.4,0.35,0.25,0.7036,0.979,True,0.355,0.911,-0.1137,-0.1244,1.097,1.0
519033,0.8708,0.4,0.35,0.25,0.8224,0.941,True,0.452,1.33,0.0353,0.1113,0.693,1.0
560006,0.8708,0.4,0.35,0.25,0.8583,0.971,True,0.129,1.064,0.0664,0.0921,1.011,1.0
320016,0.8708,0.4,0.35,0.25,0.7613,0.998,False,0.645,1.211,-0.0471,0.0258,1.697,1.0
160211,0.8708,0.4,0.35,0.25,0.867,0.942,True,0.194,1.501,0.0234,0.2639,1.3,1.0
000679,0.8708,0.4,0.35,0.25,0.7537,0.987,False,0.323,0.9,-0.1016,0.0297,1.333,1.0
200008,0.8708,0.4,0.35,0.25,0.6594,0.949,False,0.032,2.035,-0.1042,-0.1594,1.514,1.0
160314,0.8708,0.4,0.35,0.25,0.8562,0.957,True,0.194,1.711,0.0479,0.1651,1.168,1.0
240010,0.8708,0.4,0.35,0.25,0.6852,0.985,False,0.419,1.853,-0.1472,-0.0948,1.784,1.0
470098,0.8708,0.4,0.35,0.25,0.7944,0.951,False,0.484,1.22,0.022,0.1156,0.915,1.0
740101,0.8708,0.4,0.35,0.25,0.8154,0.952,True,0.161,1.313,0.0741,0.0968,0.899,1.0
000884,0.8708,0.4,0.35,0.25,0.6436,0.984,False,0.194,1.281,-0.035,0.0481,1.782,1.0
002031,0.8708,0.4,0.35,0.25,0.8762,0.974,True,0.258,1.09,0.0188,0.198,0.791,1.0
000925,0.8708,0.4,0.35,0.25,0.8035,0.942,True,0.516,1.275,-0.0099,0.1086,0.654,1.0
519983,0.8708,0.4,0.35,0.25,0.8142,0.964,True,0.419,1.575,0.0191,0.1693,1.096,1.0
519736,0.8708,0.4,0.35,0.25,0.7379,0.962,False,0.258,0.957,0.0006,0.0406,1.014,1.0
519908,0.8708,0.4,0.35,0.25,0.8554,0.955,True,0.226,1.229,0.0125,0.2383,1.291,1.0
470008,0.8708,0.4,0.35,0.25,0.798,0.958,True,0.258,1.636,0.0333,0.1388,1.21,1.0
100038,0.8708,0.4,0.35,0.25,0.7986,0.951,True,0.323,1.392,0.0441,0.0979,0.651,1.0
160916,0.8708,0.4,0.35,0.25,0.7203,0.957,True,0.323,0.974,-0.0298,0.0037,0.681,1.0
165515,0.8708,0.4,0.35,0.25,0.7998,0.954,True,0.226,1.282,0.043,0.0767,0.754,1.0
000613,0.8708,0.4,0.35,0.25,0.8001,0.954,True,0.258,1.059,0.0312,0.0616,0.742,1.0
161903,0.8708,0.4,0.35,0.25,0.822,0.958,True,0.387,1.839,0.0193,0.1856,1.728,1.0
310368,0.8708,0.4,0.35,0.25,0.8434,0.939,True,0.226,1.711,0.0298,0.1294,1.408,1.0
288001,0.8708,0.4,0.35,0.25,0.7357,0.948,False,0.484,1.502,-0.1168,0.0478,0.861,1.0
519918,0.8708,0.4,0.35,0.25,0.7948,0.962,False,0.323,1.283,0.0488,0.0503,1.471,1.0
202015,0.8708,0.4,0.35,0.25,0.7984,0.953,True,0.29,1.599,0.0333,0.0619,0.741,1.0
160615,0.8708,0.4,0.35,0.25,0.7997,0.954,True,0.226,1.57,0.0341,0.0613,0.748,1.0
163803,0.8708,0.4,0.35,0.25,0.8061,0.942,True,0.258,1.729,0.0165,0.1472,1.258,1.0
165309,0.8708,0.4,0.35,0.25,0.8005,0.954,True,0.29,1.505,0.0319,0.0617,0.707,1.0
164304,0.8708,0.4,0.35,0.25,0.8154,0.968,True,0.194,1.544,0.0375,0.0459,1.294,1.0
161601,0.8708,0.4,0.35,0.25,0.8476,0.941,True,0.065,1.539,-0.001,0.1625,0.87,1.0
000591,0.8708,0.4,0.35,0.25,0.8377,0.96,True,0.226,1.054,-0.2436,-0.1282,1.179,1.0
080015,0.8708,0.4,0.35,0.25,0.7984,0.955,False,0.419,1.143,-0.0296,0.1091,0.834,1.0
160706,0.8708,0.4,0.35,0.25,0.7995,0.954,True,0.258,1.879,0.0314,0.0594,0.747,1.0
164809,0.8708,0.4,0.35,0.25,0.8254,0.96,True,0.355,1.541,-0.0233,0.17,0.948,1.0
162202,0.8708,0.4,0.35,0.25,0.7989,0.95,False,0.419,1.745,-0.092,0.0545,0.893,1.0
320011,0.8708,0.4,0.35,0.25,0.7969,0.964,True,0.355,1.128,-0.0523,0.0846,0.738,1.0
688888,0.8708,0.4,0.35,0.25,0.8502,0.963,True,0.129,1.093,-0.01,0.0975,1.289,1.0
165508,0.8708,0.4,0.35,0.25,0.7121,0.96,False,0.387,1.258,-0.0558,-0.0271,0.528,1.0
050013,0.8708,0.4,0.35,0.25,0.7491,0.954,True,0.387,1.466,-0.0117,-0.0073,0.586,1.0
590005,0.8708,0.4,0.35,0.25,0.8774,0.955,True,0.387,1.395,-0.0834,0.167,1.231,1.0
040007,0.8708,0.4,0.35,0.25,0.8492,0.954,True,0.387,1.806,-0.1612,0.0266,1.338,1.0
610001,0.8708,0.4,0.35,0.25,0.8683,0.965,True,0.387,1.827,-0.0435,0.1461,1.428,1.0
020001,0.8708,0.4,0.35,0.25,0.8451,0.949,True,0.355,1.818,-0.0303,0.1755,1.653,1.0
162711,0.8708,0.4,0.35,0.25,0.8258,0.96,True,0.323,1.723,-0.0268,0.1597,0.947,1.0
000220,0.8708,0.4,0.35,0.25,0.7287,0.969,True,0.323,1.193,-0.0733,-0.1555,1.272,1.0
519991,0.8708,0.4,0.35,0.25,0.7466,0.947,True,0.355,1.406,-0.0732,-0.027,1.034,1.0
590007,0.8708,0.4,0.35,0.25,0.7974,0.97,False,0.323,1.444,-0.0277,0.1137,0.736,1.0
590002,0.8708,0.4,0.35,0.25,0.8762,0.951,True,0.323,1.895,-0.1023,0.1005,1.236,1.0
