date,code,name,S,rank_pct,F_value,F_alpha,F_mom,water,wv,wa,wm,R_MDD,mdd_f,mdd_b,top3,pens,fwd6,fwd12
2024-09-30,519736,67,28.1,0.6912,35.4,39.7,0.0,0.6495,0.4,0.35,0.25,0.96,-0.4106,-0.4276,0.296,,-0.013,0.0087
2024-09-30,202002,68,28.0,0.6866,32.5,0.0,60.0,0.6495,0.4,0.35,0.25,0.922,-0.3794,-0.4116,0.278,,-0.074,0.1721
2024-09-30,470098,69,27.8,0.682,31.9,0.0,60.0,0.6495,0.4,0.35,0.25,1.143,-0.4648,-0.4065,0.267,,-0.1063,0.19
2024-09-30,000404,70,27.7,0.6774,31.8,0.0,60.0,0.6495,0.4,0.35,0.25,1.173,-0.4769,-0.4064,0.333,,-0.0622,0.5912
2024-09-30,519130,71,27.6,0.6728,32.0,50.0,100.0,0.6495,0.4,0.35,0.25,1.24,-0.5074,-0.4093,0.349,"回撤比值1.24∈(1.2,1.5](-50%)",-0.0461,0.0361
2024-09-30,206002,72,27.3,0.6659,35.0,37.9,0.0,0.6495,0.4,0.35,0.25,0.987,-0.4101,-0.4155,0.293,,-0.0494,0.2
2024-09-30,240004,73,27.3,0.6659,35.2,37.9,0.0,0.6495,0.4,0.35,0.25,1.121,-0.472,-0.4212,0.312,,-0.0179,0.3695
2024-09-30,590007,74,26.6,0.659,33.3,37.9,0.0,0.6495,0.4,0.35,0.25,0.945,-0.3831,-0.4056,0.296,,-0.0474,0.2091
2024-09-30,100056,75,26.1,0.6544,34.8,34.7,0.0,0.6495,0.4,0.35,0.25,0.885,-0.3744,-0.4229,0.293,,-0.1659,0.1241
2024-09-30,700001,76,25.5,0.6498,33.3,34.7,0.0,0.6495,0.4,0.35,0.25,0.912,-0.3886,-0.4263,0.315,,-0.0488,0.1894
2024-09-30,580005,77,24.8,0.6452,34.4,31.6,0.0,0.6495,0.4,0.35,0.25,0.779,-0.3244,-0.4165,0.275,,-0.1147,-0.1272
2024-09-30,110013,78,24.6,0.6406,33.8,31.6,0.0,0.6495,0.4,0.35,0.25,1.058,-0.4385,-0.4146,0.311,,-0.0427,0.504
2024-09-30,110029,79,24.5,0.6359,32.3,31.6,100.0,0.6495,0.4,0.35,0.25,1.203,-0.4919,-0.4089,0.333,"回撤比值1.20∈(1.2,1.5](-50%)",-0.0174,0.9299
2024-09-30,110025,80,24.1,0.6313,32.7,31.6,0.0,0.6495,0.4,0.35,0.25,1.128,-0.4583,-0.4062,0.293,,-0.0936,0.314
2024-09-30,673010,81,21.9,0.6267,34.2,2.1,30.0,0.6495,0.4,0.35,0.25,0.926,-0.3858,-0.4164,0.312,,0.1973,0.5036
2024-09-30,000124,82,21.7,0.6152,35.5,0.0,30.0,0.6495,0.4,0.35,0.25,0.995,-0.4205,-0.4227,0.289,,-0.0298,0.1127
2024-09-30,080002,83,21.7,0.6152,35.6,0.0,30.0,0.6495,0.4,0.35,0.25,1.031,-0.4345,-0.4214,0.337,,0.1382,0.4717
2024-09-30,000652,84,21.7,0.6152,35.5,0.0,30.0,0.6495,0.4,0.35,0.25,1.005,-0.4242,-0.4219,0.303,,-0.0149,0.2705
2024-09-30,000534,85,21.7,0.6152,35.6,0.0,30.0,0.6495,0.4,0.35,0.25,0.951,-0.4001,-0.4209,0.337,,0.1744,0.5934
2024-09-30,740101,86,21.5,0.6037,35.1,0.0,30.0,0.6495,0.4,0.35,0.25,0.975,-0.4127,-0.4231,0.303,,-0.0762,0.1269
2024-09-30,165522,87,21.3,0.5968,34.6,0.0,30.0,0.6495,0.4,0.35,0.25,1.045,-0.435,-0.4163,0.339,,0.0605,0.4804
2024-09-30,161025,88,21.3,0.5968,34.6,0.0,30.0,0.6495,0.4,0.35,0.25,1.043,-0.4336,-0.4158,0.333,,0.0453,0.4778
2024-09-30,161601,89,21.0,0.5899,33.8,0.0,30.0,0.6495,0.4,0.35,0.25,1.12,-0.4641,-0.4144,0.303,,-0.0441,0.1434
2024-09-30,000845,90,20.0,0.5853,35.5,16.7,0.0,0.6495,0.4,0.35,0.25,1.027,-0.4122,-0.4014,0.289,,-0.1635,0.2268
2024-09-30,740001,91,19.9,0.5806,30.9,0.0,30.0,0.6495,0.4,0.35,0.25,1.064,-0.4378,-0.4116,0.317,,-0.1495,0.537
2024-09-30,000409,92,19.5,0.576,34.9,0.0,100.0,0.6495,0.4,0.35,0.25,1.394,-0.5984,-0.4293,0.331,"回撤比值1.39∈(1.2,1.5](-50%)",-0.2032,0.2004
2024-09-30,320016,93,19.4,0.5691,34.5,0.0,100.0,0.6495,0.4,0.35,0.25,1.368,-0.5726,-0.4184,0.332,"回撤比值1.37∈(1.2,1.5](-50%)",0.2531,0.8387
2024-09-30,519674,94,19.4,0.5691,34.7,0.0,100.0,0.6495,0.4,0.35,0.25,1.46,-0.6081,-0.4165,0.342,"回撤比值1.46∈(1.2,1.5](-50%)",0.4202,0.8768
2024-09-30,580009,95,19.3,0.5622,31.3,31.6,60.0,0.6495,0.4,0.35,0.25,1.256,-0.5031,-0.4006,0.338,"回撤比值1.26∈(1.2,1.5](-50%)",-0.1306,0.039
2024-09-30,000742,96,19.0,0.553,32.7,0.0,100.0,0.6495,0.4,0.35,0.25,1.358,-0.5524,-0.4068,0.334,"回撤比值1.36∈(1.2,1.5](-50%)",-0.0115,0.3324
2024-09-30,310328,97,19.0,0.553,32.6,0.0,100.0,0.6495,0.4,0.35,0.25,1.245,-0.5074,-0.4075,0.292,"回撤比值1.25∈(1.2,1.5](-50%)",-0.0993,-0.0736
2024-09-30,000823,98,19.0,0.553,32.7,0.0,100.0,0.6495,0.4,0.35,0.25,1.291,-0.535,-0.4144,0.33,"回撤比值1.29∈(1.2,1.5](-50%)",-0.0625,0.4504
2024-09-30,000714,99,18.9,0.5438,32.0,50.0,30.0,0.6495,0.4,0.35,0.25,1.298,-0.5252,-0.4046,0.342,"回撤比值1.30∈(1.2,1.5](-50%)",0.314,0.9737
2024-09-30,560006,100,18.8,0.5392,31.7,0.0,100.0,0.6495,0.4,0.35,0.25,1.372,-0.5496,-0.4005,0.27,"回撤比值1.37∈(1.2,1.5](-50%)",-0.0698,0.1068
2024-09-30,000547,101,17.1,0.5346,34.5,9.5,0.0,0.6495,0.4,0.35,0.25,1.043,-0.4366,-0.4186,0.313,,-0.0743,0.157
2024-09-30,169101,102,16.2,0.53,32.7,12.6,60.0,0.6495,0.4,0.35,0.25,1.357,-0.57,-0.4201,0.318,"回撤比值1.36∈(1.2,1.5](-50%)",-0.068,0.4794
2024-09-30,000166,103,15.2,0.523,30.8,30.2,30.0,0.6495,0.4,0.35,0.25,1.465,-0.5884,-0.4017,0.336,"回撤比值1.46∈(1.2,1.5](-50%)",0.0536,0.3232
2024-09-30,240020,104,15.2,0.523,36.0,2.4,0.0,0.6495,0.4,0.35,0.25,1.116,-0.4813,-0.4311,0.353,,0.0847,0.3795
2024-09-30,377150,105,15.0,0.5138,37.6,0.0,0.0,0.6495,0.4,0.35,0.25,1.161,-0.4793,-0.4127,0.334,,-0.06,0.0241
2024-09-30,162202,106,15.0,0.5138,0.0,0.0,60.0,0.6495,0.4,0.35,0.25,0.947,-0.3793,-0.4006,0.275,,-0.1331,0.1076
2024-09-30,260104,107,14.8,0.5023,36.9,0.0,0.0,0.6495,0.4,0.35,0.25,1.165,-0.5083,-0.4364,0.326,,-0.1009,-0.0552
2024-09-30,162605,108,14.8,0.5023,36.9,0.0,0.0,0.6495,0.4,0.35,0.25,1.183,-0.5154,-0.4358,0.328,,-0.1019,-0.0945
2024-09-30,233008,109,14.8,0.5023,37.1,0.0,0.0,0.6495,0.4,0.35,0.25,1.162,-0.5119,-0.4405,0.333,,-0.124,-0.0961
2024-09-30,270028,110,14.5,0.4931,34.8,0.0,60.0,0.6495,0.4,0.35,0.25,1.297,-0.5468,-0.4215,0.33,"回撤比值1.30∈(1.2,1.5](-50%)",-0.0443,0.3829
2024-09-30,160215,111,14.4,0.4885,36.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.169,-0.497,-0.4253,0.312,,0.0213,0.5037
2024-09-30,080012,112,14.3,0.4816,34.0,0.0,60.0,0.6495,0.4,0.35,0.25,1.496,-0.6223,-0.4161,0.334,"回撤比值1.50∈(1.2,1.5](-50%)",0.0755,0.3244
2024-09-30,270041,113,14.3,0.4816,35.7,0.0,0.0,0.6495,0.4,0.35,0.25,1.085,-0.4612,-0.4249,0.297,,-0.0365,0.0375
2024-09-30,519110,114,14.2,0.4724,33.5,0.0,60.0,0.6495,0.4,0.35,0.25,1.464,-0.604,-0.4127,0.324,"回撤比值1.46∈(1.2,1.5](-50%)",-0.0272,0.2691
2024-09-30,240008,115,14.2,0.4724,35.6,0.0,0.0,0.6495,0.4,0.35,0.25,1.096,-0.4628,-0.4224,0.287,,-0.0876,0.1097
2024-09-30,213002,116,14.1,0.4608,33.0,0.0,60.0,0.6495,0.4,0.35,0.25,1.381,-0.5718,-0.4142,0.329,"回撤比值1.38∈(1.2,1.5](-50%)",0.0831,0.3171
2024-09-30,213003,117,14.1,0.4608,33.0,0.0,60.0,0.6495,0.4,0.35,0.25,1.33,-0.5513,-0.4147,0.329,"回撤比值1.33∈(1.2,1.5](-50%)",0.0531,0.9117
2024-09-30,000698,118,14.1,0.4608,33.1,0.0,60.0,0.6495,0.4,0.35,0.25,1.391,-0.5766,-0.4146,0.33,"回撤比值1.39∈(1.2,1.5](-50%)",0.0542,0.8496
2024-09-30,202007,119,14.0,0.4378,34.9,0.0,0.0,0.6495,0.4,0.35,0.25,0.895,-0.3772,-0.4213,0.287,,-0.0519,0.1693
2024-09-30,162714,120,14.0,0.4378,35.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.116,-0.4698,-0.421,0.3,,-0.0799,0.201
2024-09-30,375010,121,14.0,0.4378,32.6,0.0,60.0,0.6495,0.4,0.35,0.25,1.298,-0.527,-0.4059,0.324,"回撤比值1.30∈(1.2,1.5](-50%)",-0.059,0.626
2024-09-30,377240,122,14.0,0.4378,32.7,0.0,60.0,0.6495,0.4,0.35,0.25,1.346,-0.5462,-0.4059,0.325,"回撤比值1.35∈(1.2,1.5](-50%)",-0.0511,0.6696
2024-09-30,110019,123,14.0,0.4378,35.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.07,-0.4501,-0.4206,0.301,,-0.0929,0.1883
2024-09-30,000117,124,14.0,0.4378,35.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.185,-0.5028,-0.4242,0.303,,-0.0423,0.0418
2024-09-30,161604,125,14.0,0.4378,35.1,0.0,0.0,0.6495,0.4,0.35,0.25,1.094,-0.4603,-0.4209,0.301,,-0.0966,0.1768
2024-09-30,519068,126,13.9,0.4171,32.0,0.0,60.0,0.6495,0.4,0.35,0.25,1.253,-0.5095,-0.4067,0.288,"回撤比值1.25∈(1.2,1.5](-50%)",-0.1297,0.0699
2024-09-30,233010,127,13.9,0.4171,34.7,0.0,0.0,0.6495,0.4,0.35,0.25,1.036,-0.4328,-0.4178,0.299,,-0.0702,0.192
2024-09-30,320022,128,13.8,0.4101,34.6,0.0,0.0,0.6495,0.4,0.35,0.25,1.147,-0.4816,-0.4197,0.313,,-0.0469,0.1613
2024-09-30,688888,129,13.7,0.3986,34.3,0.0,0.0,0.6495,0.4,0.35,0.25,1.091,-0.4602,-0.4218,0.285,,-0.039,0.082
2024-09-30,580003,130,13.7,0.3986,34.3,0.0,0.0,0.6495,0.4,0.35,0.25,1.196,-0.4949,-0.4139,0.279,,-0.1206,-0.1354
2024-09-30,000354,131,13.7,0.3986,30.9,0.0,60.0,0.6495,0.4,0.35,0.25,1.481,-0.5921,-0.3997,0.339,"回撤比值1.48∈(1.2,1.5](-50%)",0.1881,1.1058
2024-09-30,002031,132,13.7,0.3986,34.3,0.0,0.0,0.6495,0.4,0.35,0.25,1.042,-0.4372,-0.4197,0.285,,-0.069,0.0606
2024-09-30,162201,133,13.6,0.3825,30.5,0.0,60.0,0.6495,0.4,0.35,0.25,1.47,-0.5921,-0.4026,0.34,"回撤比值1.47∈(1.2,1.5](-50%)",-0.0132,0.8017
2024-09-30,400007,134,13.6,0.3825,34.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.172,-0.4807,-0.41,0.301,,-0.0374,0.0727
2024-09-30,420005,135,13.6,0.3825,34.1,0.0,0.0,0.6495,0.4,0.35,0.25,1.167,-0.4872,-0.4173,0.282,,-0.0616,0.2395
2024-09-30,040011,136,13.5,0.3733,33.8,0.0,0.0,0.6495,0.4,0.35,0.25,1.181,-0.4933,-0.4178,0.306,,-0.1311,0.2256
2024-09-30,630008,137,13.4,0.3618,33.6,0.0,0.0,0.6495,0.4,0.35,0.25,0.939,-0.3933,-0.4187,0.312,,0.0079,0.346
2024-09-30,519150,138,13.4,0.3618,33.4,0.0,0.0,0.6495,0.4,0.35,0.25,0.989,-0.4077,-0.4124,0.26,,-0.0185,0.0232
2024-09-30,112002,139,13.4,0.3618,33.6,0.0,0.0,0.6495,0.4,0.35,0.25,1.172,-0.4915,-0.4194,0.316,,-0.0451,0.5425
2024-09-30,110002,140,13.4,0.3618,33.5,0.0,0.0,0.6495,0.4,0.35,0.25,1.199,-0.5037,-0.4199,0.317,,-0.0454,0.5372
2024-09-30,519991,141,13.3,0.3502,33.2,0.0,0.0,0.6495,0.4,0.35,0.25,1.06,-0.4398,-0.415,0.274,,0.0428,0.2658
