family_key,root_cause_reason,checkpoint_count
广发基金管理有限公司|广发小盘成长混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,30
广发基金管理有限公司|广发小盘成长混合(LOF)-,PARSED_CLAUSE,2
广发基金管理有限公司|广发小盘成长混合(LOF)-,PDF_MISSING,1
广发基金管理有限公司|广发睿阳三年定开混合,DOCUMENT_NOT_APPLICABLE,8
广发基金管理有限公司|广发睿阳三年定开混合,INVESTMENT_SECTION_NOT_FOUND,2
广发基金管理有限公司|广发睿阳三年定开混合,PARSED_CLAUSE,2
建信基金|建信全球机遇,DATE_OR_STAGE_UNDETERMINED,1
建信基金|建信全球机遇,DOCUMENT_NOT_APPLICABLE,10
建信基金|建信全球机遇,EQUITY_CLAUSE_NOT_FOUND,23
建信基金|建信全球机遇,INVESTMENT_SECTION_NOT_FOUND,26
建信基金|建信全球机遇,PARSED_CLAUSE,1
建信基金管理有限责任公司|建信保本混合,DATE_OR_STAGE_UNDETERMINED,1
建信基金管理有限责任公司|建信保本混合,DOCUMENT_NOT_APPLICABLE,5
建信基金管理有限责任公司|建信保本混合,INVESTMENT_SECTION_NOT_FOUND,15
建信基金管理有限责任公司|建信保本混合,PARSED_CLAUSE,1
摩根基金管理(中国)有限公司|摩根转型动力灵活配置混合-,OFFICIAL_DOCUMENT_NOT_FOUND,1
摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),DOCUMENT_NOT_APPLICABLE,12
摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),EQUITY_CLAUSE_NOT_FOUND,16
摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),INVESTMENT_SECTION_NOT_FOUND,38
摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),PARSED_CLAUSE,2
易方达基金管理有限公司|易方达科顺定开灵活配置混合,DOCUMENT_NOT_APPLICABLE,14
易方达基金管理有限公司|易方达科顺定开灵活配置混合,INVESTMENT_SECTION_NOT_FOUND,6
易方达基金管理有限公司|易方达科顺定开灵活配置混合,PARSED_CLAUSE,2
民生加银基金管理有限公司|民生加银润利混合,DATE_OR_STAGE_UNDETERMINED,1
民生加银基金管理有限公司|民生加银润利混合,EQUITY_CLAUSE_NOT_FOUND,2
民生加银基金管理有限公司|民生加银润利混合,PARSED_CLAUSE,2
汇添富基金管理股份有限公司|汇添富大盘核心资产增长混合-,OFFICIAL_DOCUMENT_NOT_FOUND,1
汇添富基金管理股份有限公司|汇添富核心精选灵活配置混合(LOF),EQUITY_CLAUSE_AMBIGUOUS,4
汇添富基金管理股份有限公司|汇添富核心精选灵活配置混合(LOF),INVESTMENT_SECTION_NOT_FOUND,12
汇添富基金管理股份有限公司|汇添富核心精选灵活配置混合(LOF),PARSED_CLAUSE,3
泓德基金管理有限公司|泓德丰泽混合(LOF)-,DOCUMENT_NOT_APPLICABLE,2
泓德基金管理有限公司|泓德丰泽混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,6
泓德基金管理有限公司|泓德丰泽混合(LOF)-,PARSED_CLAUSE,2
泰康基金管理有限公司|泰康养老目标日期2040三年持有期混合(FOF),DATE_OR_STAGE_UNDETERMINED,1
泰康基金管理有限公司|泰康养老目标日期2040三年持有期混合(FOF),EQUITY_CLAUSE_NOT_FOUND,15
海富通基金管理有限公司|海富通大中华精选混合(QDII),DATE_OR_STAGE_UNDETERMINED,1
海富通基金管理有限公司|海富通大中华精选混合(QDII),DOCUMENT_NOT_APPLICABLE,1
海富通基金管理有限公司|海富通大中华精选混合(QDII),EQUITY_CLAUSE_NOT_FOUND,6
海富通基金管理有限公司|海富通大中华精选混合(QDII),INVESTMENT_SECTION_NOT_FOUND,18
海富通基金管理有限公司|海富通大中华精选混合(QDII),TEXT_EXTRACTION_DAMAGED,2
蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合-,DATE_OR_STAGE_UNDETERMINED,1
蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合-,DOCUMENT_NOT_APPLICABLE,3
蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合-,INVESTMENT_SECTION_NOT_FOUND,4
蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合-,PARSED_CLAUSE,2
诺德基金管理有限公司|诺德优选30混合,DATE_OR_STAGE_UNDETERMINED,1
诺德基金管理有限公司|诺德优选30混合,DOCUMENT_NOT_APPLICABLE,1
诺德基金管理有限公司|诺德优选30混合,EQUITY_CLAUSE_NOT_FOUND,1
诺德基金管理有限公司|诺德优选30混合,INVESTMENT_SECTION_NOT_FOUND,2
诺德基金管理有限公司|诺德优选30混合,PARSED_CLAUSE,2
银华基金管理股份有限公司|银华内需精选混合(LOF),DOCUMENT_NOT_APPLICABLE,1
银华基金管理股份有限公司|银华内需精选混合(LOF),INVESTMENT_SECTION_NOT_FOUND,16
银华基金管理股份有限公司|银华内需精选混合(LOF),PARSED_CLAUSE,2
银华基金管理股份有限公司|银华永祥保本混合,DATE_OR_STAGE_UNDETERMINED,1
银华基金管理股份有限公司|银华永祥保本混合,EQUITY_CLAUSE_NOT_FOUND,51
银华基金管理股份有限公司|银华永祥保本混合,INVESTMENT_SECTION_NOT_FOUND,36
银河基金管理有限公司|银河君耀灵活配置混合-,DATE_OR_STAGE_UNDETERMINED,1
银河基金管理有限公司|银河君耀灵活配置混合-,INVESTMENT_SECTION_NOT_FOUND,2
银河基金管理有限公司|银河君耀灵活配置混合-,PARSED_CLAUSE,2
银河基金管理有限公司|银河犇利灵活配置混合-,DATE_OR_STAGE_UNDETERMINED,1
银河基金管理有限公司|银河犇利灵活配置混合-,INVESTMENT_SECTION_NOT_FOUND,3
银河基金管理有限公司|银河犇利灵活配置混合-,PARSED_CLAUSE,2
银河基金管理有限公司|银河犇利灵活配置混合-,PROPOSED_STATE_NOT_EFFECTIVE,3
长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,DOCUMENT_NOT_APPLICABLE,4
长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,12
长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,20
长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,PARSED_CLAUSE,4
长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,PROPOSED_STATE_NOT_EFFECTIVE,1
长城基金管理有限公司|长城久富核心成长混合(LOF)-,DOCUMENT_NOT_APPLICABLE,6
长城基金管理有限公司|长城久富核心成长混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,1
长城基金管理有限公司|长城久富核心成长混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,34
长城基金管理有限公司|长城久富核心成长混合(LOF)-,PARSED_CLAUSE,3
