model,IC_mean,IC_t,ICIR,hit,buy_fwd,buy_win,top10_fwd,q1_fwd,ls_top_q1,n_q
Ridge a=0.3 dec=3.0,0.16962515341618598,2.7075374877194145,0.6054237874169612,0.75,0.0516011372251706,0.5125094768764216,0.06289477272727272,-0.0016162790697674507,0.06451105179704017,20
精简 Ridge a=1.0 dec=3,0.18783948335392248,2.7024442377683386,0.604284902105261,0.8,0.0503642153146323,0.5087187263078089,0.06304863636363636,-0.002074534883720941,0.06512317124735731,20
Ridge a=0.5 dec=3.0,0.17071479609260232,2.7016999838280604,0.6041184818649625,0.75,0.05131789234268386,0.5155420773313116,0.06539113636363637,-0.002750232558139545,0.06814136892177591,20
Ridge a=2.0 dec=3.0,0.1717086842697519,2.69108565363011,0.601745045479138,0.75,0.04927247915087188,0.5109931766489765,0.06295909090909091,-0.00043255813953487946,0.06339164904862579,20
Ridge a=1.0 dec=3.0,0.17213503059529067,2.690326371164708,0.6015752647584617,0.75,0.05014450341167551,0.513267626990144,0.06612477272727273,-0.002311511627906989,0.06843628435517972,20
Ridge a=3.0 dec=3.0,0.1692389180752001,2.679215306766573,0.599090755228801,0.75,0.050411675511751325,0.511751326762699,0.06369977272727273,0.00011558139534884049,0.06358419133192389,20
精简 Ridge a=2.0 dec=3,0.18502819032676068,2.654411437443131,0.5935444414375771,0.8,0.050309552691432904,0.5094768764215315,0.061449318181818174,-0.0017984883720930248,0.0632478065539112,20
精简 Ridge a=5.0 dec=2,0.18155926405178552,2.6467023186866374,0.5918206300789632,0.8,0.052263608794541325,0.510235026535254,0.06099068181818181,0.00026918604651162434,0.060721495771670186,20
Ridge a=5.0 dec=3.0,0.1643971247191022,2.63725324613831,0.5897077532247246,0.75,0.04985155420773313,0.5072024260803639,0.06432772727272727,0.001263372093023261,0.06306435517970402,20
Blend 0.5 Ridge + 0.5 S_eng,0.14715471951230735,2.6364184198237837,0.5895210803858559,0.85,0.047048445792266885,0.5056861258529188,0.06678113636363636,0.01384860465116279,0.05293253171247357,20
Huber a=0.005 dec=2,0.15736635255675688,2.5918986070573826,0.5795661476167323,0.8,0.053471948445792276,0.5034116755117514,0.06146090909090909,0.0030681395348837173,0.05839276955602537,20
Huber a=0.01 dec=2,0.1573511293467309,2.589301829026878,0.5789854903968638,0.8,0.05341501137225172,0.5026535253980288,0.061994772727272725,0.0029549999999999915,0.05903977272727273,20
Huber a=0.05 dec=2,0.1575415274342144,2.5892573569416286,0.5789755461362919,0.8,0.05310037907505686,0.5026535253980288,0.06289704545454546,0.003461395348837206,0.05943565010570825,20
Huber a=0.001 dec=2,0.15717004188758565,2.587932458140183,0.5786792897579578,0.8,0.053061561789234275,0.5034116755117514,0.060436363636363635,0.0030681395348837173,0.05736822410147992,20
Lasso a=0.003,0.16546296454404683,2.582300637583994,0.5774199763978859,0.75,0.048457695223654285,0.5018953752843063,0.06223,0.004176046511627911,0.05805395348837209,20
Ridge a=0.3 dec=5.0,0.1614427088959875,2.571342947512934,0.5749697624103594,0.75,0.049332676269901454,0.511751326762699,0.06380454545454546,-0.0037613953488372094,0.06756594080338267,20
Ridge a=0.5 dec=5.0,0.1627437772685809,2.563271883926537,0.5731650177273687,0.75,0.0492366186504928,0.5140257771038665,0.0643659090909091,-0.0036499999999999953,0.0680159090909091,20
精简 Ridge a=5.0 dec=3,0.1767582637781488,2.5572819051812963,0.5718256177615549,0.75,0.05055731614859744,0.5087187263078089,0.06289886363636364,0.0014598837209302302,0.061438979915433414,20
Ridge a=1.0 dec=5.0,0.1647495498382498,2.5570549069340944,0.5717748594104033,0.75,0.05045049279757393,0.5170583775587566,0.06373,-0.003542790697674424,0.06727279069767442,20
Ridge a=2.0 dec=5.0,0.1644511497029656,2.5495329250226977,0.5700928931224626,0.75,0.05011410159211525,0.513267626990144,0.0639059090909091,-0.0013284883720930255,0.06523439746300212,20
Ridge a=3.0 dec=5.0,0.16275286860504024,2.543244214906656,0.5686866947914366,0.75,0.04994094010614101,0.5140257771038665,0.06346590909090909,-0.00026500000000000617,0.06373090909090909,20
Ridge a=5.0 dec=5.0,0.15837364249276634,2.5114390326943066,0.5615748398450786,0.75,0.04828066717210008,0.5094768764215315,0.0637740909090909,0.003313604651162789,0.06046048625792812,20
Blend 0.3 Ridge + 0.7 S_eng,0.13279698784300825,2.5023873481797154,0.5595508216565278,0.85,0.04482880970432146,0.5041698256254739,0.05733159090909091,0.016345697674418604,0.040985893234672305,20
V3.7 引擎 (基准),0.11592756735876372,2.3958325008593815,0.53572443346249,0.85,0.04209518434913468,0.49811888638073737,0.05250157657657657,0.03666803455723543,0.015833542019341146,20
HGBR d=2 lr=0.04 l2=5,0.1255651174489234,2.3851659910617555,0.5333393293634741,0.75,0.04340660091047041,0.4946889226100152,0.05833568181818182,0.014973837209302322,0.0433618446088795,20
Huber a=0.05 dec=3,0.14911312077305236,2.3782971886482147,0.5318034184514049,0.8,0.050978695981804406,0.5064442759666414,0.05939090909090909,0.0019403488372092955,0.057450560253699795,20
Huber a=0.001 dec=3,0.14814315453034355,2.37032392254664,0.5300205419508233,0.8,0.05131243366186506,0.5072024260803639,0.05836636363636365,0.002446744186046502,0.05591961945031715,20
Huber a=0.01 dec=3,0.14821382264361205,2.3689532232831407,0.529714044277834,0.8,0.05143206974981047,0.5072024260803639,0.05939090909090909,0.0023697674418604615,0.05702114164904863,20
Huber a=0.005 dec=3,0.14817088970686182,2.36871379016303,0.5296605054045708,0.8,0.05131243366186506,0.5072024260803639,0.05836636363636365,0.0021159302325581284,0.05625043340380552,20
HGBR d=2 lr=0.04 l2=15,0.12156900282805642,2.264801094276829,0.5064249202318899,0.75,0.041624639878695975,0.4981046247156937,0.05552636363636364,0.014076860465116277,0.04144950317124736,20
Lasso a=0.005,0.14178658990489756,2.2627811787047794,0.5059732533790986,0.75,0.041637831690674754,0.48597422289613346,0.05084068181818181,0.00704453488372093,0.043796146934460885,20
HGBR d=2 lr=0.02 l2=15,0.12171000200103185,2.1352522966208674,0.4774569284356804,0.75,0.0422165402124431,0.4984825493171472,0.061404318181818185,0.017044883720930232,0.044359434460887956,20
HGBR d=3 lr=0.04 l2=15,0.12166005039363678,2.1313346649139575,0.47658091935493446,0.75,0.04130394238059134,0.489764973464746,0.06064590909090909,0.014872209302325584,0.045773699788583505,20
HGBR d=2 lr=0.02 l2=5,0.12054517464164913,2.1040738251676987,0.4704852102752982,0.75,0.042519332827899915,0.4988627748294162,0.06006045454545454,0.017815250291036082,0.04224520425441846,20
HGBR d=3 lr=0.02 l2=15,0.11755016231963789,2.04856069770271,0.4580720976097657,0.75,0.038564821834723276,0.4844579226686884,0.058473863636363636,0.015347441860465114,0.043126421775898524,20
HGBR d=3 lr=0.04 l2=5,0.11884554201012254,2.0301491758938366,0.4539551561763796,0.75,0.041629492039423815,0.4965883244882487,0.057824772727272725,0.014733488372093023,0.0430912843551797,20
HGBR d=3 lr=0.02 l2=5,0.1144648373815389,1.9406095356741135,0.43393348395516207,0.75,0.03868104624715694,0.4874905231235785,0.05804977272727274,0.01655872093023256,0.041491051797040185,20
Lasso a=0.01,0.11269344869871652,1.8839255280664475,0.4212585545303764,0.7,0.03734374526156178,0.48218347232752085,0.048003636363636366,0.012244069767441867,0.0357595665961945,20
