model,IC_mean,IC_t,ICIR,hit,buy_fwd,buy_win,top10_fwd,q1_fwd,ls_top_q1,n_q
Huber a=0.001 decay=2,0.17008417301452133,2.7464240157242137,0.6141190794197293,0.8,0.05247300985595148,0.5109931766489765,0.0652965909090909,-0.0010641860465116304,0.06636077695560254,20
Ridge a=2.0 decay=4,0.17757369363059283,2.707531797289122,0.6054225149980658,0.75,0.05311288855193329,0.5178165276724791,0.06389772727272727,-0.0032826744186046472,0.06718040169133192,20
Ridge a=1.0 decay=4,0.17554219232184534,2.703334391807226,0.6044839465994007,0.75,0.05227604245640637,0.5170583775587566,0.06491931818181818,-0.0036232558139534837,0.06854257399577166,20
Blend Ridge*(0.5) + S_eng*(0.5),0.15426932596497744,2.6945644901063397,0.6025229369634835,0.85,0.05016178923426838,0.5163002274450341,0.06223750000000001,0.013318139534883722,0.04891936046511629,20
Ridge a=3.0 decay=4,0.17723581335669863,2.69131311106513,0.6017959065078072,0.75,0.052396967399545115,0.5155420773313116,0.06553931818181818,-0.0015702325581395354,0.06710955073995772,20
Ridge a=0.5 decay=4,0.17298310180831925,2.689189497633314,0.6013210521086599,0.75,0.05246648976497347,0.5216072782410918,0.06834227272727272,-0.003204651162790702,0.07154692389006342,20
Ridge a=0.3 decay=4,0.17090061623640265,2.67446381499666,0.5980282893695953,0.75,0.05257096285064443,0.5208491281273692,0.06740522727272726,-0.0029002325581395424,0.07030545983086679,20
Ridge a=5.0 decay=4,0.1755844294251408,2.6648546843900216,0.5958796224454835,0.75,0.050757543593631535,0.5155420773313116,0.06616954545454545,-0.0007541860465116301,0.06692373150105708,20
Ridge a=2.0 decay=5,0.17294804350172474,2.6277369070314363,0.5875798351107336,0.75,0.053105003790750574,0.5193328278999242,0.06639590909090909,-0.002383720930232555,0.06877963002114164,20
Ridge a=1.0 decay=5,0.1712110424263134,2.624121321215228,0.586771365544381,0.75,0.052205913570887046,0.5208491281273692,0.06623022727272727,-0.0023669767441860407,0.06859720401691331,20
Ridge a=3.0 decay=5,0.17323295197602942,2.6234890911590845,0.5866299946060856,0.75,0.051744048521607286,0.5178165276724791,0.06885613636363636,-0.0013651162790697668,0.07022125264270612,20
Ridge a=5.0 decay=5,0.17193285740341258,2.6043261416576953,0.5823450288326353,0.75,0.050892949203942384,0.5163002274450341,0.0684075,-0.00037418604651162337,0.06878168604651162,20
Ridge a=0.5 decay=5,0.16762672192124195,2.595991237341455,0.5804812875689284,0.75,0.05184230477634572,0.5231235784685367,0.06613636363636365,-0.0029223255813953545,0.069058689217759,20
Ridge a=0.3 decay=5,0.16554348214183454,2.579162785319296,0.5767183313011642,0.75,0.051075815011372254,0.5216072782410918,0.06570704545454545,-0.0030105813953488353,0.06871762684989428,20
Blend Ridge*(0.3) + S_eng*(0.7),0.13656745999083425,2.5633027463444313,0.5731719187738049,0.85,0.045036087945413195,0.5064442759666414,0.0581875,0.014558720930232565,0.043628779069767434,20
V3.7 引擎(基准),0.11592756735876372,2.3958325008593815,0.53572443346249,0.85,0.04209518434913468,0.49811888638073737,0.05250157657657657,0.03666803455723543,0.015833542019341146,20
HGBR d=2 lr=0.05 l2=3,0.13603358549825972,2.360759712960636,0.5278819196722874,0.75,0.04288952959028833,0.4946889226100152,0.05404818181818182,0.005440116279069767,0.04860806553911205,20
Huber a=0.05 decay=3,0.15355378722784813,2.359384081482142,0.5275743191224972,0.75,0.05141872630780895,0.5140257771038665,0.06655,0.0012255813953488395,0.06532441860465116,20
Huber a=0.001 decay=3,0.1524809311307635,2.350426054705467,0.5255712434408063,0.75,0.05183078089461714,0.5155420773313116,0.06679886363636364,0.0015790697674418611,0.06521979386892178,20
Huber a=0.01 decay=3,0.15249142816265324,2.3493290891590823,0.5253259544877372,0.75,0.05178051554207733,0.5155420773313116,0.06679886363636364,0.0011793023255813981,0.06561956131078224,20
Ridge a=5.0 decay=None,0.1557629069558788,2.3379202324724986,0.5227748565780618,0.75,0.05047407126611068,0.5185746777862017,0.06654,0.0020348837209302325,0.06450511627906977,20
Ridge a=3.0 decay=None,0.15550483107820434,2.3343202567446455,0.5219698775335789,0.75,0.049593858984078844,0.5178165276724791,0.06338772727272728,0.0009281395348837225,0.062459587737843554,20
Ridge a=2.0 decay=None,0.15445671939120176,2.327282842263863,0.5203962638170918,0.7,0.04964450341167551,0.5178165276724791,0.06334136363636364,0.0001545348837209212,0.06318682875264271,20
Ridge a=1.0 decay=None,0.15178926860083647,2.3099185182309787,0.5165134829250055,0.7,0.048431614859742234,0.5170583775587566,0.06196931818181818,-0.00019976744186046223,0.06216908562367864,20
Ridge a=0.5 decay=None,0.1490909802618315,2.283347025347676,0.5105719164899338,0.7,0.04790500379075058,0.5185746777862017,0.06147227272727273,-0.001008372093023252,0.06248064482029598,20
Ridge a=0.3 decay=None,0.14766274939218302,2.273290971850547,0.5083233145694384,0.65,0.04721933282789993,0.5170583775587566,0.06187659090909091,-0.0006938372093023238,0.06257042811839324,20
HGBR d=2 lr=0.05 l2=10,0.1277642824714358,2.2246538034973087,0.4974477131023441,0.75,0.04172458270106222,0.48330804248861914,0.05880681818181819,0.007752674418604652,0.05105414376321354,20
HGBR d=2 lr=0.02 l2=10,0.1358838494464991,2.206847007658779,0.4934659925067029,0.75,0.04370128983308043,0.4939301972685888,0.06128181818181819,0.011351398601398608,0.04993041958041958,20
HGBR d=2 lr=0.02 l2=3,0.1318020095598876,2.1490364402206934,0.48053915664576335,0.75,0.0412964366944655,0.4943138741470811,0.06385882352941176,0.01334279069767442,0.05051603283173734,20
HGBR d=3 lr=0.05 l2=3,0.12053588353638686,2.121991620386219,0.4744917510868513,0.7,0.04092359635811835,0.49013657056145676,0.05412886363636363,0.013682093023255827,0.0404467706131078,20
HGBR d=3 lr=0.02 l2=10,0.11849109440040513,1.9479140687544376,0.4355668272063121,0.75,0.04210735963581183,0.49165402124430957,0.05473659090909091,0.014079186046511637,0.04065740486257927,20
HGBR d=3 lr=0.05 l2=10,0.11027050364389064,1.9467947617632184,0.43531654255430646,0.75,0.035995526914329036,0.4852160727824109,0.05243340909090909,0.013310000000000004,0.03912340909090909,20
HGBR d=3 lr=0.02 l2=3,0.11424566388059539,1.8894482383954583,0.42249347010194727,0.7,0.04076990144048522,0.49052312357846856,0.055500909090909094,0.016665581395348843,0.03883532769556025,20
Huber a=0.05 decay=None,0.1260375019351225,1.8627107741706446,0.41651479134668207,0.65,0.04636239575435937,0.5125094768764216,0.05702,0.0031002325581395472,0.05391976744186045,20
Huber a=0.01 decay=None,0.12557637531619306,1.8597353569363617,0.415849467826954,0.65,0.046236846095526925,0.5125094768764216,0.05708363636363636,0.003373139534883721,0.05371049682875264,20
Huber a=0.001 decay=None,0.12542735591142887,1.8573923339587448,0.41532555196187443,0.65,0.046254207733131165,0.5125094768764216,0.05708363636363636,0.0035417441860465153,0.05354189217758984,20
